nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe,Fortalezas,Debilidades
Abner Krill,Polka-Dot Man,DC Extended Universe,https://www.superherodb.com/polka-dot-man/10-27931/,60,1,6,10,35,35,1,,"['Energy Blasts', 'Intelligence', 'Power Suit', 'Acrobatics', 'Awakened Power', 'Creation', 'Explosion Manipulation', 'Heat Generation', 'Insanity', 'Natural Weapons', 'Petrification', 'Summoning', 'Weapon Creation', 'Durability Negation', 'Endurance', 'Illumination', 'Marksmanship', 'Reflexes', 'Stealth', 'DC Comics', 'DCEU - DC Extended Universe', 'Chronicler', 'Walid27', 'Tigerking2020', 'Hesperus', 'ForJustice1324', 'JaviChat', 'Rotemeg', 'RatnikNaSjeveru2005', 'lucifermorningstar876', 'yes', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Polka-Dot Man,['Habilidades de combate'],['Humano sin poderes sobrenaturales']
Atlanna,Queen Atlanna,DC Extended Universe,https://www.superherodb.com/queen-atlanna/10-19143/,70,30,25,30,50,75,2,,"['Durability', 'Enhanced Sight', 'Intelligence', 'Reflexes', 'Stamina', 'Sub-Mariner', 'Super Speed', 'Super Strength', 'Underwater breathing', 'Accelerated Healing', 'Agility', 'Cold Resistance', 'Dexterity', 'Endurance', 'Enhanced Smell', 'Force Fields', 'Jump', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Stealth', 'Vision - Night', 'Water Control', 'Weapon-based Powers', 'Weapons Master', 'Weather Control', 'Energy Resistance', 'Fire Resistance', 'Heat Resistance', 'DC Comics', 'DCEU - DC Extended Universe', 'Chronicler', 'Walid27', 'Tigerking2020', 'Hesperus', 'ForJustice1324', 'JaviChat', 'Rotemeg', 'RatnikNaSjeveru2005', 'lucifermorningstar876', 'yes', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Queen Atlanna,"['Control sobre el agua', 'Habilidades de combate']",['Necesidad de estar en contacto con el agua regularmente']
Hippolyta,Queen Hippolyta,DC Extended Universe,https://www.superherodb.com/queen-hippolyta/10-31302/,85,30,25,30,40,100,2,,"['Intelligence', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Stamina', 'Super Speed', 'Super Strength', 'Swordsmanship', 'Accelerated Healing', 'Acrobatics', 'Adaptation', 'Agility', 'Cold Resistance', 'Dexterity', 'Endurance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Fire Resistance', 'Heat Resistance', 'Indomitable Will', 'Jump', 'Longevity', 'Reflexes', 'Toxin and Disease Resistance', 'Weapon-based Powers', 'Weapons Master', 'Magic', 'Omnilingualism', 'DC Comics', 'DCEU - DC Extended Universe', 'Hippolyta', 'Zack Snyder’s Justice League (2021)', 'Walid27', 'Chronicler', 'Tigerking2020', 'Hesperus', 'ForJustice1324', 'JaviChat', 'Rotemeg', 'RatnikNaSjeveru2005', 'lucifermorningstar876', 'yes', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Queen Hippolyta,"['Fuerza sobrehumana', 'Habilidades de combate', 'Inmortalidad']",['Dependencia de la inmortalidad']
Cleo Cazo,Ratcatcher,DC Extended Universe,https://www.superherodb.com/ratcatcher/10-27930/,65,1,6,5,10,20,1,,"['Animal Control', 'Intelligence', 'Peak Human Condition', 'Homing Attack', 'Stealth', 'Summoning', 'Weapon-based Powers', 'Acrobatics', 'Animal Attributes', 'Animal Oriented Powers', 'Endurance', 'Illumination', 'Marksmanship', 'Mind Control', 'Reflexes', 'DC Comics', 'DCEU - DC Extended Universe', 'Ratcatcher', 'Chronicler', 'Walid27', 'Tigerking2020', 'Hesperus', 'ForJustice1324', 'JaviChat', 'Rotemeg', 'RatnikNaSjeveru2005', 'lucifermorningstar876', 'yes', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Ratcatcher,"['Control sobre ratas', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
,Rick Flag,DC Extended Universe,https://www.superherodb.com/rick-flag/10-19136/,55,1,6,10,10,70,1,,"['Durability', 'Marksmanship', 'Peak Human Condition', 'Stamina', 'Weapons Master', 'Endurance', 'Master Martial Artist', 'Master Tactician', 'Stealth', 'Reflexes', 'DC Comics', 'DCEU - DC Extended Universe', 'Suicide Squad', 'Rick Flag', 'Hesperus', 'Walid27', 'Chronicler', 'Tigerking2020', 'ForJustice1324', 'JaviChat', 'Rotemeg', 'RatnikNaSjeveru2005', 'lucifermorningstar876', 'yes', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Rick Flag,"['Habilidades de combate', 'Liderazgo']",['Humano sin poderes sobrenaturales']
Ishmael Gregor,Sabbac,DC Extended Universe,https://www.superherodb.com/sabbac/10-51472/,70,100,50,45,75,70,3,,"['Agility', 'Cold Resistance', 'Demon Physiology', 'Dexterity', 'Endurance', 'Fire Control', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Hellfire Manipulation', 'Hellfire Resistance', 'Intelligence', 'Invulnerability', 'Levitation', 'Longevity', 'Magic', 'Reflexes', 'Stamina', 'Summoning', 'Toxin and Disease Resistance', 'Accelerated Healing', 'Acid Resistants', 'Electricity Resistance', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Immortality', 'Indomitable Will', 'Information Analysis', 'Master Martial Artist', 'Master Tactician', 'Mind Control Resistance', 'Necromancy', 'Radiation Immunity', 'Regeneration', 'Soul Manipulation', 'Soul Resistance', 'Transformation', 'Weapons Master', 'Magic Resistance', 'DC Comics', 'DCEU - DC Extended Universe', 'Walid27', 'yes', 'Rotemeg', 'Hesperus', 'Chronicler', 'Tigerking2020', 'ForJustice1324', 'JaviChat', 'RatnikNaSjeveru2005', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Sabbac,"['Fuerza sobrehumana', 'Habilidades mágicas', 'Vuelo']",['Dependencia de la magia']
Brian Durlin,Savant,DC Extended Universe,https://www.superherodb.com/savant/10-27928/,55,1,1,5,10,40,1,,"['Stamina', 'Insanity', 'Marksmanship', 'Stealth', 'DC Comics', 'DCEU - DC Extended Universe', 'Tigerking2020', 'yes', 'Hesperus', 'Walid27', 'Rotemeg', 'Chronicler', 'ForJustice1324', 'JaviChat', 'RatnikNaSjeveru2005', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Savant,"['Intelecto de nivel genio', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
Billy Batson,Shazam,DC Extended Universe,https://www.superherodb.com/shazam/10-14488/,60,95,60,40,70,30,3,3,"['Agility', 'Cold Resistance', 'Divine Powers', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Fire Resistance', 'Flight', 'Intelligence', 'Levitation', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Afterimage Creation', 'Bullet Time', 'Electrical Transport', 'Electrokinesis', 'Element Control', 'Energy Blasts', 'Energy Manipulation', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Indomitable Will', 'Invulnerability', 'Jump', 'Light Control', 'Longevity', 'Magic', 'Power Bestowal', 'Radiation Immunity', 'Regeneration', 'Toxin and Disease Resistance', 'Transformation', 'Dexterity', 'Hope Inducement', 'Teleportation', 'DC Comics', 'DCEU - DC Extended Universe', 'Shazam Family', 'Shazam', 'Red Ranked Warriors', 'yes', 'Tigerking2020', 'Hesperus', 'Walid27', 'Rotemeg', 'Chronicler', 'ForJustice1324', 'JaviChat', 'RatnikNaSjeveru2005', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Shazam,"['Fuerza sobrehumana', 'Velocidad', 'Vuelo', 'Magia']",['Dependencia de la magia de Shazam']
Christopher Weiss,Slipknot,DC Extended Universe,https://www.superherodb.com/slipknot/10-15959/,45,1,1,5,5,30,0,,"['Weapons Master', 'DCEU - DC Extended Universe', 'Suicide Squad', 'Chronicler', 'Walid27', 'yes', 'Tigerking2020', 'Hesperus', 'Rotemeg', 'ForJustice1324', 'JaviChat', 'RatnikNaSjeveru2005', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Slipknot,"['Habilidad con cuerdas', 'Habilidades de combate']",['Humano sin poderes sobrenaturales']
,Sol Soria,DC Extended Universe,https://www.superherodb.com/sol-soria/10-25376/,55,1,1,5,5,40,0,,"['Indomitable Will', 'DC Comics', 'DCEU - DC Extended Universe', 'Suicide Squad', 'RatnikNaSjeveru2005', 'Chronicler', 'Walid27', 'yes', 'Tigerking2020', 'Hesperus', 'Rotemeg', 'ForJustice1324', 'JaviChat', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Sol Soria,['Habilidades de combate'],['Humana sin poderes sobrenaturales']
,Starro,DC Extended Universe,https://www.superherodb.com/starro/10-27927/,65,70,25,25,60,30,2,,"['Animal Attributes', 'Animal Oriented Powers', 'Cold Resistance', 'Durability', 'Hive-Mind', 'Intelligence', 'Large Size', 'Mind Control', 'Stamina', 'Super Strength', 'Tentacles', 'Accelerated Healing', 'Agility', 'Animal Control', 'Corruption', 'Energy Resistance', 'Heat Resistance', 'Mind Control Resistance', 'Possession', 'Reflexes', 'Summoning', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Underwater breathing', 'Vision - Night', 'Adaptation', 'Fire Resistance', 'Immortality', 'Invulnerability', 'Latent Abilities', 'Mind Transfer', 'Radiation Immunity', 'Regeneration', 'Size Changing', 'Telepathy', 'DC Comics', 'DCEU - DC Extended Universe', 'yes', 'RatnikNaSjeveru2005', 'Walid27', 'Chronicler', 'Tigerking2020', 'Hesperus', 'Rotemeg', 'ForJustice1324', 'JaviChat', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Starro,"['Control mental', 'Regeneración', 'Fuerza sobrehumana']",['Vulnerabilidad a la separación física']
Steppenwolf,Steppenwolf,DC Extended Universe,https://www.superherodb.com/steppenwolf/10-12579/,90,90,25,45,65,100,3,,"['Cold Resistance', 'Durability', 'Endurance', 'Fire Resistance', 'Immortality', 'Intelligence', 'Interstellar Travel', 'Jump', 'Master Tactician', 'Stamina', 'Super Speed', 'Super Strength', 'Underwater breathing', 'Weapons Master', 'Accelerated Healing', 'Agility', 'Bullet Time', 'Dexterity', 'Energy Resistance', 'Heat Resistance', 'Invulnerability', 'Master Martial Artist', 'Reflexes', 'Self-Sustenance', 'Weapon-based Powers', 'Teleportation', 'DC Comics', 'DCEU - DC Extended Universe', 'Steppenwolf', 'Movie Heroes', 'Red Ranked Warriors', 'Roleplaying Collection', 'Chronicler', 'yes', 'RatnikNaSjeveru2005', 'Walid27', 'Tigerking2020', 'Hesperus', 'Rotemeg', 'ForJustice1324', 'JaviChat', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Steppenwolf,"['Fuerza sobrehumana', 'Habilidades de combate', 'Inmortalidad']",['Dependencia de Darkseid']
Kara Zor-El,Supergirl,DC Extended Universe,https://www.superherodb.com/supergirl/10-25935/,60,75,50,40,75,45,3,,"['Cold Resistance', 'Dexterity', 'Durability', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Sight', 'Explosion Manipulation', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Invulnerability', 'Levitation', 'Longevity', 'Reflexes', 'Shockwaves Generation', 'Space Survivability', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Accelerated Development', 'Acid Resistants', 'Agility', 'Berserk Mode', 'Electricity Resistance', 'Enhanced Memory', 'Enhanced Smell', 'Indomitable Will', 'Master Martial Artist', 'Statistics Amplification', 'Super Breath', 'Accelerated Healing', 'Adaptation', 'Ice Manipulation', 'Immortality', 'Light Control', 'Regeneration', 'DC Comics', 'DCEU - DC Extended Universe', 'Supergirl', 'yes', 'Chronicler', 'RatnikNaSjeveru2005', 'Walid27', 'Tigerking2020', 'Hesperus', 'Rotemeg', 'ForJustice1324', 'JaviChat', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Supergirl,"['Fuerza sobrehumana', 'Velocidad', 'Vuelo', 'Visión de rayos X', 'Invulnerabilidad', 'Visión calorífica', 'Aliento helado']","['Kryptonita', 'Magia']"
Kal-El,Superman,DC Extended Universe,https://www.superherodb.com/superman/10-12528/,80,100,85,45,80,50,3,4,"['Accelerated Healing', 'Acid Resistants', 'Agility', 'Bullet Time', 'Cold Resistance', 'Dexterity', 'Disguise Mastery', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Touch', 'Explosion Manipulation', 'Fire Resistance', 'Flight', 'Gadget Usage', 'Heat Generation', 'Heat Resistance', 'Hope Inducement', 'Ice Manipulation', 'Indomitable Will', 'Intelligence', 'Jump', 'Longevity', 'Radiation Absorption', 'Reflexes', 'Seismic Power', 'Shockwaves Generation', 'Space Survivability', 'Spaceflight', 'Stamina', 'Super Speed', 'Super Strength', 'Supernatural Condition', 'Toxin and Disease Resistance', 'Vision - Heat', 'Vision - X-Ray', 'Attack Reflection', 'Berserk Mode', 'Damage Boost', 'Danger Sense', 'Durability Negation', 'Electricity Absorption', 'Energy Beams', 'Energy Blasts', 'Enhanced Smell', 'Information Analysis', 'Instinctive Reaction', 'Intimidation', 'Invulnerability', 'Levitation', 'Radiation Immunity', 'Regeneration', 'Self-Sustenance', 'Sonic Scream', 'Statistics Amplification', 'Stealth', 'Super Breath', 'Vaporising Beams', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Accelerated Development', 'Acrobatics', 'Aura', 'Bloodlust', 'Emotional Power Up', 'Energy Absorption', 'Illumination', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Underwater breathing', 'Vibration Manipulation', 'DC Comics', 'DCEU - DC Extended Universe', 'Superman', 'Batman V Superman: Dawn Of Justice (2016)', 'Man Of Steel (2013)', 'Movie Heroes', 'Red Ranked Warriors', 'Supermen/women', 'Zack Snyder’s Justice League (2021)', 'Walid27', 'yes', 'Chronicler', 'RatnikNaSjeveru2005', 'Tigerking2020', 'Hesperus', 'Rotemeg', 'ForJustice1324', 'JaviChat', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Superman,"['Fuerza sobrehumana', 'Velocidad', 'Vuelo', 'Visión de rayos X', 'Invulnerabilidad', 'Visión calorífica', 'Aliento helado']","['Kryptonita', 'Magia']"
Floyd Belkin,T.D.K.,DC Extended Universe,https://www.superherodb.com/tdk/10-27926/,50,1,6,10,30,40,1,,"['Separation', 'Stealth', 'DC Comics', 'DCEU - DC Extended Universe', 'Hesperus', 'yes', 'Walid27', 'Chronicler', 'RatnikNaSjeveru2005', 'Tigerking2020', 'Rotemeg', 'ForJustice1324', 'JaviChat', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",T.D.K.,"['Desprendimiento de extremidades', 'Habilidades de combate']",['Humano sin poderes sobrenaturales fuera de su habilidad']
Barry Allen,The Flash,DC Extended Universe,https://www.superherodb.com/the-flash/10-12531/,80,25,100,30,85,40,5,,"['Agility', 'Bullet Time', 'Dexterity', 'Dimensional Travel', 'Durability', 'Electrokinesis', 'Endurance', 'Heat Generation', 'Heat Resistance', 'Intelligence', 'Interstellar Travel', 'Longevity', 'Reflexes', 'Speed Force', 'Stamina', 'Super Speed', 'Super Strength', 'Surface Scaling', 'Time Manipulation', 'Time Travel', 'Vibration Manipulation', 'Accelerated Development', 'Accelerated Healing', 'Acrobatics', 'Cold Resistance', 'Electricity Absorption', 'Electricity Resistance', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Hearing', 'Explosion Manipulation', 'Fire Resistance', 'Illusions', 'Jump', 'Molecular Oscillation', 'Phasing', 'Power Suit', 'Regeneration', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Vortex Creation', 'Wind Control', 'Aura', 'Durability Negation', 'Force Fields', 'Illumination', 'Intangibility', 'Invisibility', 'Spatial Manipulation', 'Stealth', 'DC Comics', 'DCEU - DC Extended Universe', 'Flash Family', 'Flash', 'Batman V Superman: Dawn Of Justice (2016)', 'Movie Heroes', 'Roleplaying Collection', 'The Flash Series Speedsters', 'Zack Snyder’s Justice League (2021)', 'yes', 'Hesperus', 'Chronicler', 'Walid27', 'RatnikNaSjeveru2005', 'Tigerking2020', 'Rotemeg', 'ForJustice1324', 'JaviChat', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",The Flash,"['Velocidad sobrehumana', 'Reflejos rápidos', 'Intangibilidad', 'Viaje en el tiempo', 'Curación acelerada']","['Fuerzas de fricción extremas', 'Dependencia de la Speed Force']"
Adrian Chase,Vigilante,DC Extended Universe,https://www.superherodb.com/vigilante/10-38997/,60,1,7,10,10,70,1,,"['Durability', 'Peak Human Condition', 'Stamina', 'Acrobatics', 'Dexterity', 'Endurance', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Stealth', 'Weapons Master', 'Agility', 'DC Comics', 'DCEU - DC Extended Universe', 'vigilante', 'Roleplaying Collection', 'yes', 'Hesperus', 'Chronicler', 'Walid27', 'RatnikNaSjeveru2005', 'Tigerking2020', 'Rotemeg', 'ForJustice1324', 'JaviChat', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Vigilante,"['Habilidades de combate', 'Experto en armas']",['Humano sin poderes sobrenaturales']
Auggie Smith,White Dragon,DC Extended Universe,https://www.superherodb.com/white-dragon/10-44241/,65,13,25,10,20,40,1,,"['Intelligence', 'Stamina', 'Agility', 'Energy Blasts', 'Fire Control', 'Fire Resistance', 'Flight', 'Heat Resistance', 'Intuitive aptitude', 'Levitation', 'Master Tactician', 'Power Suit', 'Weapon-based Powers', 'Weapons Master', 'Electrokinesis', 'DC Comics', 'DCEU - DC Extended Universe', 'Hesperus', 'yes', 'Chronicler', 'Walid27', 'RatnikNaSjeveru2005', 'Tigerking2020', 'Rotemeg', 'ForJustice1324', 'JaviChat', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",White Dragon,"['Habilidades de combate', 'Tecnología avanzada']",['Humano sin poderes sobrenaturales']
Diana Prince,Wonder Woman (Armor of Asteria),DC Extended Universe,https://www.superherodb.com/wonder-woman-armor-of-asteria/10-31269/,80,95,70,60,55,100,3,,"['Acrobatics', 'Agility', 'Cold Resistance', 'Dexterity', 'Durability', 'Electricity Resistance', 'Endurance', 'Fire Resistance', 'Flight', 'Grappling/Climbing', 'Heat Resistance', 'Intelligence', 'Jump', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Stamina', 'Super Speed', 'Super Strength', 'Swordsmanship', 'Weapons Master', 'Accelerated Development', 'Accelerated Healing', 'Aura', 'Bullet Time', 'Empathy', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Force Fields', 'Illumination', 'Indomitable Will', 'Invulnerability', 'Master Tactician', 'Stealth', 'Wind Control', 'Godly Physiology', 'Immortality', 'Magic', 'Omnilingualism', 'Radiation Immunity', 'Rage Power', 'Regeneration', 'Toxin and Disease Resistance', 'DC Comics', 'DCEU - DC Extended Universe', 'Wonder Woman', 'JaviChat', 'Hesperus', 'yes', 'Chronicler', 'Walid27', 'RatnikNaSjeveru2005', 'Tigerking2020', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Ezio', 'Xml', 'All Users']",Wonder Woman,"['Fuerza sobrehumana', 'Habilidades de combate', 'Vuelo', 'Agilidad', 'Resistencia']",['Dependencia de la verdad']
Wrath,Wrath,DC Extended Universe,https://www.superherodb.com/wrath/10-27556/,65,65,65,40,60,65,3,,"['Accelerated Healing', 'Cold Resistance', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Fire Resistance', 'Heat Resistance', 'Intelligence', 'Invulnerability', 'Radiation Immunity', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Agility', 'Dexterity', 'Flight', 'Immortality', 'Jump', 'DC Comics', 'DCEU - DC Extended Universe', 'Wrath', 'yes', 'Ezio', 'JaviChat', 'Hesperus', 'Walid27', 'Chronicler', 'RatnikNaSjeveru2005', 'Tigerking2020', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Xml', 'All Users']",Wrath,['Habilidades de combate'],['Humano sin poderes sobrenaturales']
Zeus,Zeus,DC Extended Universe,https://www.superherodb.com/zeus/10-27185/,95,100,25,50,80,85,4,4,"['Cloaking', 'Cold Resistance', 'Divine Powers', 'Divinity', 'Durability', 'Electricity Resistance', 'Electrokinesis', 'Element Control', 'Endurance', 'Energy Resistance', 'Fire Resistance', 'Flight', 'Godly Physiology', 'Heat Resistance', 'Intelligence', 'Jump', 'Master Martial Artist', 'Matter Manipulation', 'Radiation Immunity', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Weather Control', 'Wind Control', 'Accelerated Healing', 'Agility', 'Creation', 'Dexterity', 'Energy Blasts', 'Energy Manipulation', 'Force Fields', 'Heat Generation', 'Illumination', 'Immortality', 'Invulnerability', 'Life Manipulation', 'Magic', 'Magic Resistance', 'Marksmanship', 'Master Tactician', 'Power Bestowal', 'Regeneration', 'Self-Sustenance', 'Telepathy', 'Vortex Creation', 'Water Control', 'Weapons Master', 'Wishing', 'Aura', 'Invisibility', 'DC Comics', 'DCEU - DC Extended Universe', 'Zeus', 'yes', 'Ezio', 'Walid27', 'JaviChat', 'Hesperus', 'Chronicler', 'RatnikNaSjeveru2005', 'Tigerking2020', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'Xml', 'All Users']",Zeus,"['Habilidades mágicas', 'Inmortalidad', 'Control del rayo']",['Dependencia de su magia']
"Reginald ""Reggie"" C. Franklin",A-Train,The Boys (TV Series 2019),https://www.superherodb.com/a-train/10-21495/,60,25,25,15,35,30,1,1+,"['Agility', 'Enhanced Condition', 'Enhanced Hearing', 'Intelligence', 'Reflexes', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Acrobatics', 'Deception', 'Dexterity', 'Endurance', 'Jump', 'Social Influencing', 'Longevity', 'Master Martial Artist', 'Regeneration', 'Stealth', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'The Seven', 'The Seven', 'Roleplaying Collection', 'Hesperus', 'AmalgamComics00', 'yes', 'Denisegc091477gmailcom', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'All Users']",A-Train,['Velocidad sobrehumana'],"['Problemas cardíacos', 'Dependencia de Compuesto V']"
William Butcher,Billy Butcher,The Boys (TV Series 2019),https://www.superherodb.com/billy-butcher/10-21496/,65,5,7,8,10,60,1,0+,"['Agility', 'Dexterity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Preparation', 'Social Influencing', 'Vehicular Mastery', 'Weapons Master', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'Badass', 'Hesperus', 'yes', 'Denisegc091477gmailcom', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'All Users']",Billy Butcher,"['Habilidades de combate', 'Liderazgo']","['Humano sin poderes sobrenaturales', 'Impulsividad']"
William Butcher,Billy Butcher (V24),The Boys (TV Series 2019),https://www.superherodb.com/billy-butcher-v24/10-49719/,65,25,8,20,50,60,1,,"['Heat Generation', 'Stamina', 'Toxin and Disease Resistance', 'Vision - Heat', 'Weapons Master', 'Accelerated Healing', 'Agility', 'Bloodlust', 'Cold Resistance', 'Dexterity', 'Disguise Mastery', 'Endurance', 'Energy Beams', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Thievery', 'Heat Resistance', 'Indomitable Will', 'Invulnerability', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Preparation', 'Reflexes', 'Regeneration', 'Social Influencing', 'Stealth', 'Vehicular Mastery', 'Energy Resistance', 'Dynamite Entertainment', 'The Boys 2019 - The Boys (TV Series 2019)', 'Hesperus', 'yes', 'Denisegc091477gmailcom', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'All Users']",Billy Butcher (V24),"['Fuerza sobrehumana (temporal)', 'Habilidades de combate']","['Efectos secundarios de V24', 'Tiempo limitado de poderes']"
William Butcher,Billy Butchter (tumor),The Boys (TV Series 2019),https://www.superherodb.com/billy-butchter-tumor/10-66739/,65,25,14,20,35,65,1,1,"['Instinctive Reaction', 'Rage Power', 'Super Strength', 'Bloodlust', 'Emotional Power Up', 'Endurance', 'Insanity', 'Master Martial Artist', 'Master Tactician', 'Weapons Master', 'Accelerated Healing', 'Multiple Limbs', 'Multiple Personalities', 'Amazon', 'The Boys 2019 - The Boys (TV Series 2019)', 'Hesperus', 'Denisegc091477gmailcom', 'yes', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'Bananatooshholeyyyyyy', 'All Users']",Billy Butcher (Tumor),['Desconocido'],['Desconocido']
,Black Noir (replacement),The Boys (TV Series 2019),https://www.superherodb.com/black-noir-replacement/10-66430/,50,25,25,15,35,55,1,1,"['Insanity', 'Stamina', 'Super Speed', 'Super Strength', 'Disguise Mastery', 'Endurance', 'Flight', 'Master Martial Artist', 'Social Influencing', 'Amazon', 'The Boys 2019 - The Boys (TV Series 2019)', 'yes', 'BlotskyA', 'Denisegc091477gmailcom', 'Hesperus', 'AmalgamComics00', 'MoNsTeR', 'TheOld', 'Walid27', 'JaviChat', 'Tigerking2020', 'RatnikNaSjeveru2005', 'Ezio', 'Chronicler', 'Rotemeg', 'ForJustice1324', 'lucifermorningstar876', 'Delinquent', 'All Users']",Black Noir (Replacement),"['Habilidades de combate', 'Sigilo']",['Desconocido']
