nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
Matt Murdock,Daredevil,Marvel Cinematic Universe,https://www.superherodb.com/daredevil/10-12751/,75,5,20,14,12,95,1,,"['Acrobatics', 'Agility', 'Dexterity', 'Durability', 'Echolocation', 'Endurance', 'Enhanced Hearing', 'Enhanced Smell', 'Enhanced Touch', 'Intelligence', 'Master Martial Artist', 'Ninjutsu', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Stealth', 'Weapons Master', 'Indomitable Will', 'Marksmanship', 'Master Tactician', 'Pressure Points', 'Radar Sense', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Defenders', 'Daredevil', ""Mcu Spider-man's Friends And Allies"", 'Mcu Superheroes', 'Movie Heroes', 'My Favorite Characters ⭐ Pcf Updated', 'Roleplaying Collection', 'Spider-man: No Way Home (2021)', 'White Ranked Warriors', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Daredevil
Michael Peterson,Deathlok,Marvel Cinematic Universe,https://www.superherodb.com/deathlok/10-15432/,45,30,50,15,40,70,1,,"['Acrobatics', 'Agility', 'Data Manipulation', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Taste', 'Enhanced Touch', 'Explosion Manipulation', 'Hacking', 'Information Analysis', 'Jump', 'Master Martial Artist', 'Regeneration', 'Weapon-based Powers', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Deathlok', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Deathlok
,Destroyer,Marvel Cinematic Universe,https://www.superherodb.com/destroyer/10-13071/,60,80,30,45,70,80,3,,"['Accelerated Healing', 'Acid Resistants', 'Cold Resistance', 'Durability', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Heat Generation', 'Marksmanship', 'Odin Force', 'Regeneration', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Vaporising Beams', 'Agility', 'Attack Reflection', 'Dimensional Travel', 'Electricity Resistance', 'Explosion Manipulation', 'Fire Resistance', 'Godly Physiology', 'Heat Resistance', 'Interstellar Travel', 'Jump', 'Laser Manipulation', 'Magic Resistance', 'Matter Manipulation', 'Mind Control Resistance', 'Natural Armor', 'Natural Weapons', 'Pain Suppression', 'Radiation Immunity', 'Reflexes', 'Regeneration Negation', 'Self-Sustenance', 'Shockwaves Generation', 'Space Survivability', 'Stealth', 'Vision - Heat', 'Weapon-based Powers', 'Changing Armor', 'Dexterity', 'Invulnerability', 'Large Size', 'Magic', 'Shapeshifting', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Destroyer', 'My Collection', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Destroyer
Stephen Strange,Doctor Strange,Marvel Cinematic Universe,https://www.superherodb.com/doctor-strange/10-12588/,80,8,25,25,90,60,4,4+,"['Astral Projection', 'Attack Reflection', 'Deconstruction', 'Dimensional Travel', 'Duplication', 'Durability', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Fire Control', 'Force Fields', 'Gadget Usage', 'Heat Generation', 'Illumination', 'Indomitable Will', 'Intelligence', 'Levitation', 'Magic', 'Matter Manipulation', 'Memory Manipulation', 'Non-Physical Interaction', 'Portal Creation', 'Reflexes', 'Sealing', 'Soul Manipulation', 'Stamina', 'Summoning', 'Super Speed', 'Super Strength', 'Telekinesis', 'Teleportation', 'Terrakinesis', 'Water Control', 'Wind Control', 'Animation', 'Astral Trap', 'Audio Alteration', 'Aura', 'Banish', 'Body Puppetry', 'Clairvoyance', 'Cloaking', 'Cloth Manipulation', 'Cold Resistance', 'Element Control', 'Energy Absorption', 'Energy Beams', 'Energy Resistance', 'Enhanced Memory', 'Fire Resistance', 'Flight', 'Heat Resistance', 'Illusions', 'Information Analysis', 'Interstellar Travel', 'Latent Abilities', 'Light Control', 'Magic Resistance', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Molecular Manipulation', 'Photographic Reflexes', 'Possession', 'Power Absorption', 'Power Absorption Immunity', 'Power Nullifier', 'Precognition', 'Projection', 'Reality Warping', 'Seismic Power', 'Soul Resistance', 'Spatial Manipulation', 'Stealth', 'Transformation', 'Vortex Creation', 'Weapon Creation', 'Weapon-based Powers', 'Weapons Master', 'Acrobatics', 'Agility', 'Anti-Gravity', 'Black Hole Manipulation', 'Danger Sense', 'Dexterity', 'Durability Negation', 'Endurance', 'Gravity Control', 'Immortality', 'Invulnerability', 'Magic Absorption', 'Mind Control', 'Petrification', 'Phasing', 'Power Bestowal', 'Weapon Summoning', 'Wishing', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Doctor Strange', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Doctor Strange In The Multiverse Of Madness (2022)', ""Mcu Spider-man's Friends And Allies"", 'Mcu Superheroes', 'My Collection', 'Roleplaying Collection', 'Spider-man: No Way Home (2021)', 'Thor: Ragnarok (2017) 🔨🌩', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Doctor Strange
Dormammu,Dormammu,Marvel Cinematic Universe,https://www.superherodb.com/dormammu/10-12736/,95,100,100,100,100,70,7,7+,"['Accelerated Healing', 'Animation', 'Aura', 'Biokinesis', 'Clairvoyance', 'Cold Resistance', 'Cosmic Awareness', 'Deconstruction', 'Dimensional Awareness', 'Durability', 'Element Control', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Fearless', 'Fire Resistance', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Immortality', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Large Size', 'Life Manipulation', 'Magic Resistance', 'Matter Manipulation', 'Molecular Manipulation', 'Physics Manipulation', 'Portal Creation', 'Possession', 'Projection', 'Radiation Immunity', 'Reality Warping', 'Reality Warping Resistance', 'Regeneration', 'Self-Sustenance', 'Size Changing', 'Soul Resistance', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Telekinesis', 'Terrakinesis', 'Toxin and Disease Resistance', 'Umbrakinesis', 'Void Manipulation', 'Weather Control', 'Accelerated Development', 'Age Manipulation', 'Corruption', 'Corruption Resistance', 'Creation', 'Dark Arts', 'Dark Magic', 'Darkforce Manipulation', 'Dexterity', 'Dimensional Travel', 'Energy Absorption', 'Energy Constructs', 'Explosion Manipulation', 'Fear Inducement', 'Fear Manipulation', 'Higher Dimensional Manipulation', 'Indomitable Will', 'Marksmanship', 'Master Tactician', 'Mind Control Resistance', 'Non-Corporeal', 'Power Augmentation', 'Power Bestowal', 'Resurrection', 'Shadow Manipulation', 'Shapeshifting', 'Soul Manipulation', 'Spatial Manipulation', 'Statistics Amplification', 'Telepathy Resistance', 'Teleportation', 'Wind Control', 'Acausality', 'Existence Erasure', 'Magic', 'Time Manipulation', 'Time Manipulation Resistance', 'Wishing', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Dormammu', 'Godly(green) Ranked Characters', 'My Collection', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Dormammu
Drax,Drax The Destroyer,Marvel Cinematic Universe,https://www.superherodb.com/drax-the-destroyer/10-12591/,45,50,25,35,45,70,2,,"['Durability', 'Energy Resistance', 'Heat Resistance', 'Marksmanship', 'Multilingualism', 'Stamina', 'Super Speed', 'Super Strength', 'Accelerated Healing', 'Berserk Mode', 'Dexterity', 'Endurance', 'Fire Resistance', 'Invulnerability', 'Jump', 'Longevity', 'Master Martial Artist', 'Reflexes', 'Regeneration', 'Stealth', 'Toxin and Disease Resistance', 'Vehicular Mastery', 'Weapons Master', 'Acid Resistants', 'Agility', 'Cold Resistance', 'Electricity Resistance', 'Energy Absorption', 'Radiation Immunity', 'Rage Power', 'Space Survivability', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Anachronauts', 'Drax the Destroyer', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Mcu Superheroes', 'My Collection', 'Roleplaying Collection', 'Ahasan', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Drax the Destroyer
,Ebony Maw,Marvel Cinematic Universe,https://www.superherodb.com/ebony-maw/10-13090/,90,1,25,15,55,50,3,,"['Flight', 'Intelligence', 'Levitation', 'Super Speed', 'Super Strength', 'Telekinesis', 'Vehicular Mastery', 'Agility', 'Endurance', 'Longevity', 'Master Martial Artist', 'Master Tactician', 'Matter Manipulation', 'Water Control', 'Weapons Master', 'Wind Control', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ebony Maw', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'My Collection', 'Ahasan', 'Aleazlllll', 'Rotemeg', 'amaltaas', 'Chronicler', 'Rez005', 'All Users']",Ebony Maw
Maya Lopez,Echo,Marvel Cinematic Universe,https://www.superherodb.com/echo/10-37052/,65,1,7,5,30,80,1,,"['Master Martial Artist', 'Acrobatics', 'Agility', 'Marksmanship', 'Master Tactician', 'Peak Human Condition', 'Reflexes', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Echo', 'amaltaas', 'Aleazlllll', 'Ahasan', 'Rotemeg', 'Chronicler', 'Rez005', 'All Users']",Echo
Ego,Ego,Marvel Cinematic Universe,https://www.superherodb.com/ego/10-13892/,90,100,50,70,90,55,4,4,"['Accelerated Healing', 'Acid Resistants', 'Cold Resistance', 'Durability', 'Element Control', 'Energy Beams', 'Energy Constructs', 'Energy Manipulation', 'Fire Resistance', 'Heat Generation', 'Heat Resistance', 'Immortality', 'Intelligence', 'Interstellar Travel', 'Large Size', 'Matter Manipulation', 'Radiation Immunity', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Space Survivability', 'Super Speed', 'Super Strength', 'Weather Control', 'Wind Control', 'Agility', 'Audio Alteration', 'Avatar Creation', 'Clairvoyance Resistance', 'Corruption Resistance', 'Creation', 'Curse Resistance', 'Dexterity', 'Disguise Resistance', 'Electricity Resistance', 'Endurance', 'Energy Absorption', 'Energy Resistance', 'Explosion Manipulation', 'Flight', 'Hellfire Resistance', 'Illusion Resistance', 'Invulnerability', 'Levitation', 'Magic Resistance', 'Mind Control', 'Mind Control Resistance', 'Molecular Manipulation', 'Possession Resistance', 'Reality Warping Resistance', 'Shapeshifting', 'Soul Resistance', 'Stamina', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Water Control', 'Audio Control', 'Energy Embodiment', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ego', 'My Collection', 'Red Ranked Warriors', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Rotemeg', 'Chronicler', 'All Users']",Ego
Elektra Natchios,Elektra,Marvel Cinematic Universe,https://www.superherodb.com/elektra/10-14267/,70,8,20,15,20,85,1,,"['Dexterity', 'Endurance', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Peak Human Condition', 'Reflexes', 'Stamina', 'Stealth', 'Swordsmanship', 'Weapons Master', 'Acrobatics', 'Chi Manipulation', 'Jump', 'Master Tactician', 'Accelerated Healing', 'Regeneration', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'The Hand', 'Elektra', 'Movie Heroes', 'Aleazlllll', 'Ahasan', 'amaltaas', 'Rotemeg', 'Chronicler', 'All Users']",Elektra
Eternity,Eternity,Marvel Cinematic Universe,https://www.superherodb.com/eternity/10-30321/,100,100,∞,100,100,50,7,7+,"['Abstract Existence', 'Avatar Creation', 'Clairvoyance Resistance', 'Cold Resistance', 'Conceptual Manipulation', 'Corruption Resistance', 'Cosmic Awareness', 'Creation', 'Curse Resistance', 'Deconstruction', 'Dimensional Awareness', 'Disguise Resistance', 'Divine Powers', 'Durability', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Existence Erasure', 'Existence Erasure Resistance', 'Fire Resistance', 'Godly Physiology', 'Heat Resistance', 'Higher Dimensional Manipulation', 'Immortality', 'Indomitable Will', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Life Manipulation', 'Longevity', 'Nigh-Omniscience', 'Non-Corporeal', 'Non-Physical Interaction', 'Omnikinesis', 'Omnipresence', 'Physics Manipulation', 'Power Bestowal', 'Projection', 'Radiation Immunity', 'Reality Warping', 'Reality Warping Resistance', 'Resurrection', 'Self-Sustenance', 'Soul Manipulation', 'Soul Resistance', 'Space Survivability', 'Spatial Awareness', 'Spatial Manipulation', 'Statistics Amplification', 'Subjective Reality', 'Super Speed', 'Super Strength', 'Supernatural Condition', 'Time Manipulation', 'Time Manipulation Resistance', 'Time Travel', 'Toxin and Disease Resistance', 'Wishing', 'Acausality', 'Accelerated Healing', 'Acid Resistants', 'Agility', 'Causality Resistance', 'Danger Sense', 'Dexterity', 'Dimensional Travel', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Extrasensory Perception', 'Hellfire Resistance', 'Illusion Resistance', 'Law Manipulation', 'Magic Resistance', 'Mind Control Resistance', 'Pocket Dimensions', 'Possession Resistance', 'Reflexes', 'Regeneration', 'Spatial Communication', 'Stamina', 'Stealth', 'Telepathy Resistance', 'Transmutation Immunity', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Eternity', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Rotemeg', 'Chronicler', 'All Users']",Eternity
Sam Wilson,Falcon,Marvel Cinematic Universe,https://www.superherodb.com/falcon/10-12510/,60,13,25,14,20,65,1,,"['Acrobatics', 'Peak Human Condition', 'Stamina', 'Super Speed', 'Agility', 'Endurance', 'Energy Blasts', 'Explosion Manipulation', 'Flight', 'Marksmanship', 'Master Martial Artist', 'Stealth', 'Vision - Night', 'Weapon-based Powers', 'Weapons Master', 'Enhanced Sight', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers', 'Falcon', 'Avengers: Age Of Ultron (2015)', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Captain America: Winter Soldier (2014)', 'Movie Heroes', 'My Collection', 'Roleplaying Collection', 'White Ranked Warriors', 'Aleazlllll', 'Ahasan', 'amaltaas', 'Rotemeg', 'Chronicler', 'All Users']",Falcon
Fandral,Fandral,Marvel Cinematic Universe,https://www.superherodb.com/fandral/10-14382/,65,25,17,15,30,80,1,,"['Durability', 'Stamina', 'Swordsmanship', 'Accelerated Healing', 'Agility', 'Cold Resistance', 'Dexterity', 'Endurance', 'Fire Resistance', 'Heat Resistance', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Stealth', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Fandral', 'My Collection', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Rotemeg', 'Chronicler', 'All Users']",Fandral
Thor Odinson,Fat Thor,Marvel Cinematic Universe,https://www.superherodb.com/fat-thor/10-16834/,70,100,75,65,90,95,4,,"['Adaptation', 'Berserk Mode', 'Cloth Manipulation', 'Cold Resistance', 'Dexterity', 'Dimensional Travel', 'Durability', 'Electrokinesis', 'Element Control', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Condition', 'Fearless', 'Fire Resistance', 'Flight', 'Gadget Usage', 'Heat Generation', 'Heat Resistance', 'Intelligence', 'Interstellar Travel', 'Magic', 'Master Martial Artist', 'Master Tactician', 'Multilingualism', 'Odin Force', 'Radiation Immunity', 'Self-Sustenance', 'Shockwaves Generation', 'Space Survivability', 'Spaceflight', 'Stamina', 'Super Speed', 'Super Strength', 'Swordsmanship', 'Toxin and Disease Resistance', 'Weapon Summoning', 'Weapons Master', 'Weather Control', 'Accelerated Development', 'Accelerated Healing', 'Acrobatics', 'Agility', 'Bloodlust', 'Changing Armor', 'Dimensional Awareness', 'Durability Negation', 'Electricity Absorption', 'Electricity Resistance', 'Electro-Magnetism Manipulation', 'Energy Absorption', 'Energy Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Explosion Manipulation', 'Godly Physiology', 'Illumination', 'Immortality', 'Intangibility', 'Invulnerability', 'Levitation', 'Light Control', 'Longevity', 'Pain Suppression', 'Portal Creation', 'Precognition', 'Rage Power', 'Regeneration', 'Resurrection', 'Seismic Power', 'Stealth', 'Summoning', 'Terrakinesis', 'Vehicular Mastery', 'Vibration Manipulation', 'Vortex Creation', 'Wind Control', 'Clairvoyance', 'Fire Control', 'Illusion Resistance', 'Immortality Negation', 'Indomitable Will', 'Reality Warping Resistance', 'Telekinesis', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers: Endgame (2019)', 'My Collection', 'Red Ranked Warriors', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Rotemeg', 'Chronicler', 'All Users']",Fat Thor
Fenris,Fenris,Marvel Cinematic Universe,https://www.superherodb.com/fenris/10-15126/,50,50,25,30,50,40,3,,"['Agility', 'Animal Attributes', 'Berserk Mode', 'Cold Resistance', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Jaw Strength', 'Longevity', 'Radiation Immunity', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Accelerated Healing', 'Fire Resistance', 'Heat Resistance', 'Hunters Instinct', 'Immortality', 'Jump', 'Large Size', 'Reflexes', 'Regeneration', 'Resurrection', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Fenris', 'My Collection', 'Aleazlllll', 'Ahasan', 'amaltaas', 'Rotemeg', 'Chronicler', 'All Users']",Fenris
Frigga,Frigga,Marvel Cinematic Universe,https://www.superherodb.com/frigga/10-19995/,90,25,25,25,85,95,2,,"['Agility', 'Camouflage', 'Cloaking', 'Dexterity', 'Durability', 'Illusion Resistance', 'Illusions', 'Intelligence', 'Longevity', 'Magic', 'Mind Control', 'Mind Control Resistance', 'Shapeshifting', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Telekinesis', 'Weapons Master', 'Accelerated Healing', 'Acrobatics', 'Astral Projection', 'Avatar Creation', 'Cloning', 'Cloth Manipulation', 'Cosmic Awareness', 'Duplication', 'Endurance', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Condition', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Hypnokinesis', 'Illumination', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Power Augmentation', 'Reflexes', 'Social Influencing', 'Summoning', 'Time Manipulation', 'Transformation', 'Weapon-based Powers', 'Fire Control', 'Heat Generation', 'Invisibility', 'Latent Abilities', 'Regeneration', 'Self-Sustenance', 'Telepathy', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Aleazlllll', 'Ahasan', 'amaltaas', 'Rotemeg', 'Chronicler', 'All Users']",Frigga
G'iah,G'iah,Marvel Cinematic Universe,https://www.superherodb.com/giah/10-57596/,65,80,95,45,100,70,4,,"['Accelerated Healing', 'Disguise Mastery', 'Durability', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Enhanced Condition', 'Flight', 'Intelligence', 'Natural Armor', 'Natural Weapons', 'Phasing', 'Plant Control', 'Radiation Immunity', 'Regeneration', 'Shapeshifting', 'Shockwaves Generation', 'Space Survivability', 'Spaceflight', 'Stamina', 'Super Speed', 'Super Strength', 'Telekinesis', 'Transformation', 'Acrobatics', 'Agility', 'Animal Attributes', 'Animal Oriented Powers', 'Camouflage', 'Cold Resistance', 'Deception', 'Dexterity', 'Electricity Absorption', 'Emotional Power Up', 'Endurance', 'Energy Armor', 'Fire Resistance', 'Gliding', 'Grappling/Climbing', 'Heat Generation', 'Heat Resistance', 'Indomitable Will', 'Jump', 'Levitation', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Melting', 'Radiation Absorption', 'Rage Power', 'Reflexes', 'Size Changing', 'Stealth', 'Supernatural Condition', 'Telepathy', 'Telepathy Resistance', 'Toxin and Disease Resistance', 'Vaporising Beams', 'Vehicular Mastery', 'Wallcrawling', 'Weapon Creation', 'Web Creation', 'Changing Armor', 'Electricity Resistance', 'Elemental Transformation', 'Empathy', 'Energy Resistance', 'Explosion Manipulation', 'Fearless', 'Fusion', 'Invulnerability', 'Large Size', 'Leadership', 'Pressure Points', 'Swimming', 'Weapon-based Powers', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Aleazlllll', 'Ahasan', 'amaltaas', 'Rotemeg', 'Chronicler', 'All Users']",Giah
Gamora,Gamora,Marvel Cinematic Universe,https://www.superherodb.com/gamora/10-12502/,70,25,14,15,30,85,1,1,"['Bloodlust', 'Durability', 'Enhanced Condition', 'Intelligence', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Swordsmanship', 'Weapons Master', 'Acrobatics', 'Agility', 'Bionics', 'Cyborgization', 'Dexterity', 'Disguise Mastery', 'Electricity Resistance', 'Endurance', 'Gadget Usage', 'Jump', 'Longevity', 'Vehicular Mastery', 'Accelerated Healing', 'Energy Beams', 'Energy Blasts', 'Enhanced Sight', 'Explosion Manipulation', 'Flight', 'Multilingualism', 'Nanotechnology', 'Regeneration', 'Space Survivability', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Gamora', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Mcu Superheroes', 'My Collection', 'White Ranked Warriors', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Rotemeg', 'Chronicler', 'All Users']",Gamora
Gargantos,Gargantos,Marvel Cinematic Universe,https://www.superherodb.com/gargantos/10-43834/,40,55,14,30,35,20,2,,"['Accelerated Healing', 'Durability', 'Large Size', 'Regeneration', 'Endurance', 'Invisibility', 'Natural Weapons', 'Stamina', 'Surface Scaling', 'Wallcrawling', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Doctor Strange In The Multiverse Of Madness (2022)', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Rotemeg', 'Chronicler', 'All Users']",Gargantos
Ava Starr,Ghost,Marvel Cinematic Universe,https://www.superherodb.com/ghost/10-13658/,65,10,8,20,45,75,1,,"['Durability', 'Intangibility', 'Intelligence', 'Phasing', 'Stamina', 'Stealth', 'Acrobatics', 'Agility', 'Endurance', 'Invisibility', 'Master Martial Artist', 'Reflexes', 'Marksmanship', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ghost', 'Anti-heroes', 'Mcu Thunderbolts', 'My Collection', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Ghost
Johnny Blaze,Ghost Rider,Marvel Cinematic Universe,https://www.superherodb.com/ghost-rider/10-13867/,65,30,25,30,75,60,2,,"['Chain Manipulation', 'Cold Resistance', 'Fear Inducement', 'Fear Manipulation', 'Fire Control', 'Fire Resistance', 'Heat Resistance', 'Hellfire Manipulation', 'Hellfire Resistance', 'Penance Stare', 'Soul Manipulation', 'Soul Resistance', 'Stamina', 'Toxin and Disease Resistance', 'Vehicular Mastery', 'Accelerated Healing', 'Acid Resistants', 'Agility', 'Dexterity', 'Durability Negation', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Immortality', 'Magic', 'Magic Resistance', 'Master Martial Artist', 'Power Bestowal', 'Reflexes', 'Regeneration', 'Regeneration Negation', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ghost Rider', 'Movie Heroes', 'My Collection', 'Roleplaying Collection', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Ghost Rider
Scott Lang,Giant-Man,Marvel Cinematic Universe,https://www.superherodb.com/giant-man/10-16753/,60,55,25,30,50,40,2,,"['Cold Resistance', 'Heat Resistance', 'Large Size', 'Radiation Immunity', 'Super Strength', 'Toxin and Disease Resistance', 'Animal Control', 'Dexterity', 'Electricity Resistance', 'Fire Resistance', 'Size Changing', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Giant-Man', 'Avengers: Endgame (2019)', 'My Collection', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Giant-Man
Gilgamesh,Gilgamesh,Marvel Cinematic Universe,https://www.superherodb.com/gilgamesh/10-26889/,70,50,15,45,65,80,3,3,"['Acid Resistants', 'Cold Resistance', 'Durability', 'Endurance', 'Energy Armor', 'Energy Manipulation', 'Enhanced Memory', 'Heat Resistance', 'Longevity', 'Master Martial Artist', 'Reflexes', 'Stamina', 'Statistics Amplification', 'Super Strength', 'Accelerated Healing', 'Agility', 'Creation', 'Energy Constructs', 'Energy Resistance', 'Fire Resistance', 'Immortality', 'Inorganic Physiology', 'Master Tactician', 'Regeneration', 'Self-Sustenance', 'Soul Resistance', 'Reality Warping Resistance', 'Time Manipulation Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'gilgamesh', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Gilgamesh
Gorr,Gorr The God Butcher,Marvel Cinematic Universe,https://www.superherodb.com/gorr-the-god-butcher/10-23535/,65,100,85,75,85,80,5,4++,"['Accelerated Healing', 'Agility', 'Animal Control', 'Cold Resistance', 'Corruption', 'Dexterity', 'Durability', 'Durability Negation', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Fear Inducement', 'Fear Manipulation', 'Fearless', 'Fire Resistance', 'Heat Resistance', 'Intelligence', 'Invulnerability', 'Jump', 'Longevity', 'Magic', 'Radiation Immunity', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Shadow Manipulation', 'Stamina', 'Stealth', 'Summoning', 'Super Speed', 'Super Strength', 'Swordsmanship', 'Teleportation', 'Tentacles', 'Toxin and Disease Resistance', 'Umbrakinesis', 'Vision - Night', 'Weapon Summoning', 'Weapon-based Powers', 'Weapons Master', 'Acid Resistants', 'Acrobatics', 'Animal Attributes', 'Animation', 'Berserk Mode', 'Dimensional Travel', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Force Fields', 'Immortality', 'Immortality Negation', 'Indomitable Will', 'Intangibility', 'Interstellar Travel', 'Life Manipulation', 'Magic Resistance', 'Marksmanship', 'Master Tactician', 'Mind Control Resistance', 'Projection', 'Regeneration Negation', 'Telekinesis', 'Telepathy Resistance', 'Toxin and Disease Control', 'Creation', 'Latent Abilities', 'Sense Manipulation', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Rotemeg', 'Ahasan', 'Aleazlllll', 'amaltaas', 'Chronicler', 'All Users']",Gorr the God Butcher
