Heroe 1,Heroe 2
Jor-El,Wrath
Jor-El,Zeus
Jor-El,Agatha Harkness
Jor-El,Abomination
Jor-El,Ajak
Jor-El,Ancient One (time stone)
Jor-El,Ancient One
Jor-El,Ant-Man
Jor-El,Arishem The Judge
Jor-El,Ayo
Jor-El,Baby Groot
Jor-El,Baron Mordo
Jor-El,Baron Zemo
Jor-El,Black Bolt (Earth 838)
Jor-El,Black Bolt
Jor-El,Black Panther
Jor-El,Black Panther
Jor-El,Black Widow
Jor-El,Black Widow
Jor-El,Bucky Barnes
Jor-El,Bullseye
Jor-El,Captain America
Jor-El,Captain America (Worthy)
Jor-El,Captain Carter (Earth 838)
Jor-El,Captain Marvel
Jor-El,Chitauri Footsoldier
Jor-El,Corvus Glaive
Jor-El,Crossbones
Jor-El,Cull Obsidian
Jor-El,Dar-Benn
Jor-El,Daredevil
Jor-El,Deathlok
Jor-El,Destroyer
Jor-El,Doctor Strange
Jor-El,Dormammu
Jor-El,Drax The Destroyer
Jor-El,Ebony Maw
Jor-El,Echo
Jor-El,Ego
Jor-El,Elektra
Jor-El,Eternity
Jor-El,Falcon
Jor-El,Fandral
Jor-El,Fat Thor
Jor-El,Fenris
Jor-El,Frigga
Jor-El,G'iah
Jor-El,Gamora
Jor-El,Gargantos
Jor-El,Ghost
Jor-El,Ghost Rider
Jor-El,Giant-Man
Jor-El,Gilgamesh
Jor-El,Gorr The God Butcher
Jor-El,Gravik
Jor-El,Groot
Jor-El,Hawkeye
Jor-El,Hawkeye
Jor-El,Heimdall
Jor-El,Hela
Jor-El,High Evolutionary
Jor-El,Hulk (Stark Gauntlet)
Jor-El,Hulk
Jor-El,Ikaris
Jor-El,Iron Fist
Jor-El,Iron Man
Jor-El,Iron Man (Mk 1)
Jor-El,Iron Man (Stark Gauntlet)
Jor-El,Iron Man (Hulkbuster)
Jor-El,Iron Monger
Jor-El,Iron Spider
Jor-El,Ironheart
Jor-El,Jemiah The Analyzer
Jor-El,Jessica Jones
Jor-El,Kaecilius
Jor-El,Kang the Conqueror
Jor-El,Killian
Jor-El,Killmonger
Jor-El,Kingo
Jor-El,Kingpin
Jor-El,Korath The Pursuer
Jor-El,Korg
Jor-El,Kro
Jor-El,Kurse
Jor-El,Kid Loki
Jor-El,Lady Loki
Jor-El,Leo Fitz
Jor-El,Leviathan
Jor-El,Loki
Jor-El,Loki (Mind Stone)
Jor-El,Loki (Keeper Of The Multiverse)
Jor-El,Loki (Variant L1130)
Jor-El,Loki (King of Asgard)
Jor-El,Luke Cage
Jor-El,M'baku
Jor-El,Makkari
Jor-El,Malekith (Reality Stone)
Jor-El,Malekith
Jor-El,Mandarin
Jor-El,Mantis
Jor-El,Mighty Thor
Jor-El,MODOK
Jor-El,Moon Knight
Jor-El,Mr. Fantastic (Earth 838)
Jor-El,Mr. Knight
Jor-El,Ms. America
Jor-El,Ms. Marvel
Jor-El,Mysterio
Jor-El,Namor
Jor-El,Nebula
Jor-El,Nick Fury
Jor-El,Nomad
Jor-El,Odin
Jor-El,Okoye
Jor-El,Outrider
Jor-El,Pepper Potts (Extremis)
Jor-El,Phastos
Jor-El,Photon
Jor-El,Proxima Midnight
Jor-El,Quake
Jor-El,Quicksilver
Jor-El,Red Guardian
Jor-El,Red Skull (Stonekeeper)
Jor-El,Red Skull
Jor-El,Rescue
Jor-El,Rocket Raccoon
Jor-El,Ronan The Accuser (Power Stone)
Jor-El,Ronan The Accuser
Jor-El,Ronin
Jor-El,Scarlet Witch
Jor-El,Sersi (uni-mind)
Jor-El,Sersi
Jor-El,Shang-Chi
Jor-El,She-Hulk
Jor-El,Shuri
Jor-El,Sif
Jor-El,Sinister Strange
Jor-El,Smart Hulk
Jor-El,Spectral Vision
Jor-El,Spider-Man
Jor-El,Star-Lord (Celestial Power)
Jor-El,Star-Lord
Jor-El,Stature
Jor-El,Surtur
Jor-El,Swole Groot
Jor-El,Talos The Untamed
Jor-El,Taskmaster
Jor-El,Teenage Groot
Jor-El,Thanos
Jor-El,Thanos (Infinity Gauntlet)
Jor-El,The Collector
Jor-El,The Executioner
Jor-El,The Grandmaster
Jor-El,The Great Protector
Jor-El,The Punisher
Jor-El,Thena
Jor-El,Thor (Pre-Ragnarok)
Jor-El,Thor (Awakened)
Jor-El,Thor
Jor-El,Ultron
Jor-El,Unworthy Thor
Jor-El,Valkyrie
Jor-El,Vision
Jor-El,Volstagg
Jor-El,Vulture
Jor-El,Wanda Maximoff (Pre-WandaVision)
Jor-El,War Machine
Jor-El,Warlock
Jor-El,Wasp
Jor-El,Whiplash
Jor-El,Whiplash (Mark II)
Jor-El,White Wolf
Jor-El,Winter Soldier
Jor-El,Wolverine
Jor-El,Wong
Jor-El,YellowJacket
Jor-El,Yondu
Jor-El,Zeus
Judomaster,Karathen
Judomaster,Katana
Judomaster,Killer Croc
Judomaster,King Nereus
Judomaster,King Shark
Judomaster,Lex Luthor
Judomaster,Lust
Judomaster,Mera
Judomaster,Mister Zsasz
Judomaster,Nam-Ek
Judomaster,Nuidis Vulko
Judomaster,Ocean Master
Judomaster,Parademon
Judomaster,Peacemaker
Judomaster,Penthesileia
Judomaster,Philippus
Judomaster,Polka-Dot Man
Judomaster,Queen Atlanna
Judomaster,Queen Hippolyta
Judomaster,Ratcatcher
Judomaster,Rick Flag
Judomaster,Sabbac
Judomaster,Savant
Judomaster,Shazam
Judomaster,Slipknot
Judomaster,Sol Soria
Judomaster,Starro
Judomaster,Steppenwolf
Judomaster,Supergirl
Judomaster,Superman
Judomaster,T.D.K.
Judomaster,The Flash
Judomaster,Vigilante
Judomaster,White Dragon
Judomaster,Wonder Woman (Armor of Asteria)
Judomaster,Wrath
Judomaster,Zeus
Judomaster,Agatha Harkness
Judomaster,Abomination
Judomaster,Ajak
Judomaster,Ancient One (time stone)
Judomaster,Ancient One
Judomaster,Ant-Man
Judomaster,Arishem The Judge
Judomaster,Ayo
Judomaster,Baby Groot
Judomaster,Baron Mordo
Judomaster,Baron Zemo
Judomaster,Black Bolt (Earth 838)
Judomaster,Black Bolt
Judomaster,Black Panther
Judomaster,Black Panther
Judomaster,Black Widow
Judomaster,Black Widow
Judomaster,Bucky Barnes
Judomaster,Bullseye
Judomaster,Captain America
Judomaster,Captain America (Worthy)
Judomaster,Captain Carter (Earth 838)
Judomaster,Captain Marvel
Judomaster,Chitauri Footsoldier
Judomaster,Corvus Glaive
Judomaster,Crossbones
Judomaster,Cull Obsidian
Judomaster,Dar-Benn
Judomaster,Daredevil
Judomaster,Deathlok
Judomaster,Destroyer
Judomaster,Doctor Strange
Judomaster,Dormammu
Judomaster,Drax The Destroyer
Judomaster,Ebony Maw
Judomaster,Echo
Judomaster,Ego
Judomaster,Elektra
Judomaster,Eternity
Judomaster,Falcon
Judomaster,Fandral
Judomaster,Fat Thor
Judomaster,Fenris
Judomaster,Frigga
Judomaster,G'iah
Judomaster,Gamora
Judomaster,Gargantos
Judomaster,Ghost
Judomaster,Ghost Rider
Judomaster,Giant-Man
Judomaster,Gilgamesh
Judomaster,Gorr The God Butcher
Judomaster,Gravik
Judomaster,Groot
Judomaster,Hawkeye
Judomaster,Hawkeye
Judomaster,Heimdall
Judomaster,Hela
Judomaster,High Evolutionary
Judomaster,Hulk (Stark Gauntlet)
Judomaster,Hulk
Judomaster,Ikaris
Judomaster,Iron Fist
Judomaster,Iron Man
Judomaster,Iron Man (Mk 1)
Judomaster,Iron Man (Stark Gauntlet)
Judomaster,Iron Man (Hulkbuster)
Judomaster,Iron Monger
Judomaster,Iron Spider
Judomaster,Ironheart
Judomaster,Jemiah The Analyzer
Judomaster,Jessica Jones
Judomaster,Kaecilius
Judomaster,Kang the Conqueror
Judomaster,Killian
Judomaster,Killmonger
Judomaster,Kingo
Judomaster,Kingpin
Judomaster,Korath The Pursuer
Judomaster,Korg
Judomaster,Kro
Judomaster,Kurse
Judomaster,Kid Loki
Judomaster,Lady Loki
Judomaster,Leo Fitz
Judomaster,Leviathan
Judomaster,Loki
Judomaster,Loki (Mind Stone)
Judomaster,Loki (Keeper Of The Multiverse)
Judomaster,Loki (Variant L1130)
Judomaster,Loki (King of Asgard)
Judomaster,Luke Cage
Judomaster,M'baku
Judomaster,Makkari
Judomaster,Malekith (Reality Stone)
Judomaster,Malekith
Judomaster,Mandarin
Judomaster,Mantis
Judomaster,Mighty Thor
Judomaster,MODOK
Judomaster,Moon Knight
Judomaster,Mr. Fantastic (Earth 838)
Judomaster,Mr. Knight
Judomaster,Ms. America
Judomaster,Ms. Marvel
Judomaster,Mysterio
Judomaster,Namor
Judomaster,Nebula
Judomaster,Nick Fury
Judomaster,Nomad
Judomaster,Odin
Judomaster,Okoye
Judomaster,Outrider
Judomaster,Pepper Potts (Extremis)
Judomaster,Phastos
Judomaster,Photon
Judomaster,Proxima Midnight
Judomaster,Quake
Judomaster,Quicksilver
Judomaster,Red Guardian
Judomaster,Red Skull (Stonekeeper)
Judomaster,Red Skull
Judomaster,Rescue
Judomaster,Rocket Raccoon
Judomaster,Ronan The Accuser (Power Stone)
Judomaster,Ronan The Accuser
Judomaster,Ronin
Judomaster,Scarlet Witch
Judomaster,Sersi (uni-mind)
Judomaster,Sersi
Judomaster,Shang-Chi
Judomaster,She-Hulk
Judomaster,Shuri
Judomaster,Sif
Judomaster,Sinister Strange
Judomaster,Smart Hulk
Judomaster,Spectral Vision
Judomaster,Spider-Man
Judomaster,Star-Lord (Celestial Power)
Judomaster,Star-Lord
Judomaster,Stature
Judomaster,Surtur
Judomaster,Swole Groot
Judomaster,Talos The Untamed
Judomaster,Taskmaster
Judomaster,Teenage Groot
Judomaster,Thanos
Judomaster,Thanos (Infinity Gauntlet)
Judomaster,The Collector
Judomaster,The Executioner
Judomaster,The Grandmaster
Judomaster,The Great Protector
Judomaster,The Punisher
Judomaster,Thena
Judomaster,Thor (Pre-Ragnarok)
Judomaster,Thor (Awakened)
Judomaster,Thor
Judomaster,Ultron
Judomaster,Unworthy Thor
Judomaster,Valkyrie
Judomaster,Vision
Judomaster,Volstagg
Judomaster,Vulture
Judomaster,Wanda Maximoff (Pre-WandaVision)
Judomaster,War Machine
Judomaster,Warlock
Judomaster,Wasp
Judomaster,Whiplash
Judomaster,Whiplash (Mark II)
Judomaster,White Wolf
Judomaster,Winter Soldier
Judomaster,Wolverine
Judomaster,Wong
Judomaster,YellowJacket
Judomaster,Yondu
Judomaster,Zeus
Karathen,Katana
Karathen,Killer Croc
Karathen,King Nereus
Karathen,King Shark
Karathen,Lex Luthor
Karathen,Lust
Karathen,Mera
Karathen,Mister Zsasz
Karathen,Nam-Ek
Karathen,Nuidis Vulko
Karathen,Ocean Master
Karathen,Parademon
Karathen,Peacemaker
Karathen,Penthesileia
Karathen,Philippus
Karathen,Polka-Dot Man
Karathen,Queen Atlanna
Karathen,Queen Hippolyta
Karathen,Ratcatcher
Karathen,Rick Flag
Karathen,Sabbac
Karathen,Savant
Karathen,Shazam
Karathen,Slipknot
Karathen,Sol Soria
Karathen,Starro
Karathen,Steppenwolf
Karathen,Supergirl
Karathen,Superman
Karathen,T.D.K.
Karathen,The Flash
Karathen,Vigilante
Karathen,White Dragon
Karathen,Wonder Woman (Armor of Asteria)
Karathen,Wrath
Karathen,Zeus
Karathen,Agatha Harkness
Karathen,Abomination
Karathen,Ajak
Karathen,Ancient One (time stone)
Karathen,Ancient One
Karathen,Ant-Man
Karathen,Arishem The Judge
Karathen,Ayo
Karathen,Baby Groot
Karathen,Baron Mordo
Karathen,Baron Zemo
Karathen,Black Bolt (Earth 838)
Karathen,Black Bolt
Karathen,Black Panther
Karathen,Black Panther
Karathen,Black Widow
Karathen,Black Widow
Karathen,Bucky Barnes
Karathen,Bullseye
Karathen,Captain America
Karathen,Captain America (Worthy)
Karathen,Captain Carter (Earth 838)
Karathen,Captain Marvel
Karathen,Chitauri Footsoldier
Karathen,Corvus Glaive
Karathen,Crossbones
Karathen,Cull Obsidian
Karathen,Dar-Benn
Karathen,Daredevil
Karathen,Deathlok
Karathen,Destroyer
Karathen,Doctor Strange
Karathen,Dormammu
Karathen,Drax The Destroyer
Karathen,Ebony Maw
Karathen,Echo
Karathen,Ego
Karathen,Elektra
Karathen,Eternity
Karathen,Falcon
Karathen,Fandral
Karathen,Fat Thor
Karathen,Fenris
Karathen,Frigga
Karathen,G'iah
Karathen,Gamora
Karathen,Gargantos
Karathen,Ghost
Karathen,Ghost Rider
Karathen,Giant-Man
Karathen,Gilgamesh
Karathen,Gorr The God Butcher
Karathen,Gravik
Karathen,Groot
Karathen,Hawkeye
Karathen,Hawkeye
Karathen,Heimdall
Karathen,Hela
Karathen,High Evolutionary
Karathen,Hulk (Stark Gauntlet)
Karathen,Hulk
Karathen,Ikaris
Karathen,Iron Fist
Karathen,Iron Man
Karathen,Iron Man (Mk 1)
Karathen,Iron Man (Stark Gauntlet)
Karathen,Iron Man (Hulkbuster)
Karathen,Iron Monger
Karathen,Iron Spider
Karathen,Ironheart
Karathen,Jemiah The Analyzer
Karathen,Jessica Jones
Karathen,Kaecilius
Karathen,Kang the Conqueror
Karathen,Killian
Karathen,Killmonger
Karathen,Kingo
Karathen,Kingpin
Karathen,Korath The Pursuer
Karathen,Korg
Karathen,Kro
Karathen,Kurse
Karathen,Kid Loki
Karathen,Lady Loki
Karathen,Leo Fitz
Karathen,Leviathan
Karathen,Loki
Karathen,Loki (Mind Stone)
Karathen,Loki (Keeper Of The Multiverse)
Karathen,Loki (Variant L1130)
Karathen,Loki (King of Asgard)
Karathen,Luke Cage
Karathen,M'baku
Karathen,Makkari
Karathen,Malekith (Reality Stone)
Karathen,Malekith
Karathen,Mandarin
Karathen,Mantis
Karathen,Mighty Thor
Karathen,MODOK
Karathen,Moon Knight
Karathen,Mr. Fantastic (Earth 838)
Karathen,Mr. Knight
Karathen,Ms. America
Karathen,Ms. Marvel
Karathen,Mysterio
Karathen,Namor
Karathen,Nebula
Karathen,Nick Fury
Karathen,Nomad
Karathen,Odin
Karathen,Okoye
Karathen,Outrider
Karathen,Pepper Potts (Extremis)
Karathen,Phastos
Karathen,Photon
Karathen,Proxima Midnight
Karathen,Quake
Karathen,Quicksilver
Karathen,Red Guardian
Karathen,Red Skull (Stonekeeper)
Karathen,Red Skull
Karathen,Rescue
Karathen,Rocket Raccoon
Karathen,Ronan The Accuser (Power Stone)
Karathen,Ronan The Accuser
Karathen,Ronin
Karathen,Scarlet Witch
Karathen,Sersi (uni-mind)
Karathen,Sersi
Karathen,Shang-Chi
Karathen,She-Hulk
Karathen,Shuri
Karathen,Sif
Karathen,Sinister Strange
Karathen,Smart Hulk
Karathen,Spectral Vision
Karathen,Spider-Man
Karathen,Star-Lord (Celestial Power)
Karathen,Star-Lord
Karathen,Stature
Karathen,Surtur
Karathen,Swole Groot
Karathen,Talos The Untamed
Karathen,Taskmaster
Karathen,Teenage Groot
Karathen,Thanos
Karathen,Thanos (Infinity Gauntlet)
Karathen,The Collector
Karathen,The Executioner
Karathen,The Grandmaster
Karathen,The Great Protector
Karathen,The Punisher
Karathen,Thena
Karathen,Thor (Pre-Ragnarok)
Karathen,Thor (Awakened)
Karathen,Thor
Karathen,Ultron
Karathen,Unworthy Thor
Karathen,Valkyrie
Karathen,Vision
Karathen,Volstagg
Karathen,Vulture
Karathen,Wanda Maximoff (Pre-WandaVision)
Karathen,War Machine
Karathen,Warlock
Karathen,Wasp
Karathen,Whiplash
Karathen,Whiplash (Mark II)
Karathen,White Wolf
Karathen,Winter Soldier
Karathen,Wolverine
Karathen,Wong
Karathen,YellowJacket
Karathen,Yondu
Karathen,Zeus
Katana,Killer Croc
Katana,King Nereus
Katana,King Shark
Katana,Lex Luthor
Katana,Lust
Katana,Mera
Katana,Mister Zsasz
Katana,Nam-Ek
Katana,Nuidis Vulko
Katana,Ocean Master
Katana,Parademon
Katana,Peacemaker
Katana,Penthesileia
Katana,Philippus
Katana,Polka-Dot Man
Katana,Queen Atlanna
Katana,Queen Hippolyta
Katana,Ratcatcher
Katana,Rick Flag
Katana,Sabbac
Katana,Savant
Katana,Shazam
Katana,Slipknot
Katana,Sol Soria
Katana,Starro
Katana,Steppenwolf
Katana,Supergirl
Katana,Superman
Katana,T.D.K.
Katana,The Flash
Katana,Vigilante
Katana,White Dragon
Katana,Wonder Woman (Armor of Asteria)
Katana,Wrath
Katana,Zeus
Katana,Agatha Harkness
Katana,Abomination
Katana,Ajak
Katana,Ancient One (time stone)
Katana,Ancient One
Katana,Ant-Man
Katana,Arishem The Judge
Katana,Ayo
Katana,Baby Groot
Katana,Baron Mordo
Katana,Baron Zemo
Katana,Black Bolt (Earth 838)
Katana,Black Bolt
Katana,Black Panther
Katana,Black Panther
Katana,Black Widow
Katana,Black Widow
Katana,Bucky Barnes
Katana,Bullseye
Katana,Captain America
Katana,Captain America (Worthy)
Katana,Captain Carter (Earth 838)
Katana,Captain Marvel
Katana,Chitauri Footsoldier
Katana,Corvus Glaive
Katana,Crossbones
Katana,Cull Obsidian
Katana,Dar-Benn
Katana,Daredevil
Katana,Deathlok
Katana,Destroyer
Katana,Doctor Strange
Katana,Dormammu
Katana,Drax The Destroyer
Katana,Ebony Maw
Katana,Echo
Katana,Ego
Katana,Elektra
Katana,Eternity
Katana,Falcon
Katana,Fandral
Katana,Fat Thor
Katana,Fenris
Katana,Frigga
Katana,G'iah
Katana,Gamora
Katana,Gargantos
Katana,Ghost
Katana,Ghost Rider
Katana,Giant-Man
Katana,Gilgamesh
Katana,Gorr The God Butcher
Katana,Gravik
Katana,Groot
Katana,Hawkeye
Katana,Hawkeye
Katana,Heimdall
Katana,Hela
Katana,High Evolutionary
Katana,Hulk (Stark Gauntlet)
Katana,Hulk
Katana,Ikaris
Katana,Iron Fist
Katana,Iron Man
Katana,Iron Man (Mk 1)
Katana,Iron Man (Stark Gauntlet)
Katana,Iron Man (Hulkbuster)
Katana,Iron Monger
Katana,Iron Spider
Katana,Ironheart
Katana,Jemiah The Analyzer
Katana,Jessica Jones
Katana,Kaecilius
Katana,Kang the Conqueror
Katana,Killian
Katana,Killmonger
Katana,Kingo
Katana,Kingpin
Katana,Korath The Pursuer
Katana,Korg
Katana,Kro
Katana,Kurse
Katana,Kid Loki
Katana,Lady Loki
Katana,Leo Fitz
Katana,Leviathan
Katana,Loki
Katana,Loki (Mind Stone)
Katana,Loki (Keeper Of The Multiverse)
Katana,Loki (Variant L1130)
Katana,Loki (King of Asgard)
Katana,Luke Cage
Katana,M'baku
Katana,Makkari
Katana,Malekith (Reality Stone)
Katana,Malekith
Katana,Mandarin
Katana,Mantis
Katana,Mighty Thor
Katana,MODOK
Katana,Moon Knight
Katana,Mr. Fantastic (Earth 838)
Katana,Mr. Knight
Katana,Ms. America
Katana,Ms. Marvel
Katana,Mysterio
Katana,Namor
Katana,Nebula
Katana,Nick Fury
Katana,Nomad
Katana,Odin
Katana,Okoye
Katana,Outrider
Katana,Pepper Potts (Extremis)
Katana,Phastos
Katana,Photon
Katana,Proxima Midnight
Katana,Quake
Katana,Quicksilver
Katana,Red Guardian
Katana,Red Skull (Stonekeeper)
Katana,Red Skull
Katana,Rescue
Katana,Rocket Raccoon
Katana,Ronan The Accuser (Power Stone)
Katana,Ronan The Accuser
Katana,Ronin
Katana,Scarlet Witch
Katana,Sersi (uni-mind)
Katana,Sersi
Katana,Shang-Chi
Katana,She-Hulk
Katana,Shuri
Katana,Sif
Katana,Sinister Strange
Katana,Smart Hulk
Katana,Spectral Vision
Katana,Spider-Man
Katana,Star-Lord (Celestial Power)
Katana,Star-Lord
Katana,Stature
Katana,Surtur
Katana,Swole Groot
Katana,Talos The Untamed
Katana,Taskmaster
Katana,Teenage Groot
Katana,Thanos
Katana,Thanos (Infinity Gauntlet)
Katana,The Collector
Katana,The Executioner
Katana,The Grandmaster
Katana,The Great Protector
Katana,The Punisher
Katana,Thena
Katana,Thor (Pre-Ragnarok)
Katana,Thor (Awakened)
Katana,Thor
Katana,Ultron
Katana,Unworthy Thor
Katana,Valkyrie
Katana,Vision
Katana,Volstagg
Katana,Vulture
Katana,Wanda Maximoff (Pre-WandaVision)
Katana,War Machine
Katana,Warlock
Katana,Wasp
Katana,Whiplash
Katana,Whiplash (Mark II)
Katana,White Wolf
Katana,Winter Soldier
Katana,Wolverine
Katana,Wong
Katana,YellowJacket
Katana,Yondu
Katana,Zeus
Killer Croc,King Nereus
Killer Croc,King Shark
Killer Croc,Lex Luthor
Killer Croc,Lust
Killer Croc,Mera
Killer Croc,Mister Zsasz
Killer Croc,Nam-Ek
Killer Croc,Nuidis Vulko
Killer Croc,Ocean Master
Killer Croc,Parademon
Killer Croc,Peacemaker
Killer Croc,Penthesileia
Killer Croc,Philippus
Killer Croc,Polka-Dot Man
Killer Croc,Queen Atlanna
Killer Croc,Queen Hippolyta
Killer Croc,Ratcatcher
Killer Croc,Rick Flag
Killer Croc,Sabbac
Killer Croc,Savant
Killer Croc,Shazam
Killer Croc,Slipknot
Killer Croc,Sol Soria
Killer Croc,Starro
Killer Croc,Steppenwolf
Killer Croc,Supergirl
Killer Croc,Superman
Killer Croc,T.D.K.
Killer Croc,The Flash
Killer Croc,Vigilante
Killer Croc,White Dragon
Killer Croc,Wonder Woman (Armor of Asteria)
Killer Croc,Wrath
Killer Croc,Zeus
Killer Croc,Agatha Harkness
Killer Croc,Abomination
Killer Croc,Ajak
Killer Croc,Ancient One (time stone)
Killer Croc,Ancient One
Killer Croc,Ant-Man
Killer Croc,Arishem The Judge
Killer Croc,Ayo
Killer Croc,Baby Groot
Killer Croc,Baron Mordo
Killer Croc,Baron Zemo
Killer Croc,Black Bolt (Earth 838)
Killer Croc,Black Bolt
Killer Croc,Black Panther
Killer Croc,Black Panther
Killer Croc,Black Widow
Killer Croc,Black Widow
Killer Croc,Bucky Barnes
Killer Croc,Bullseye
Killer Croc,Captain America
Killer Croc,Captain America (Worthy)
Killer Croc,Captain Carter (Earth 838)
Killer Croc,Captain Marvel
Killer Croc,Chitauri Footsoldier
Killer Croc,Corvus Glaive
Killer Croc,Crossbones
Killer Croc,Cull Obsidian
Killer Croc,Dar-Benn
Killer Croc,Daredevil
Killer Croc,Deathlok
Killer Croc,Destroyer
Killer Croc,Doctor Strange
Killer Croc,Dormammu
Killer Croc,Drax The Destroyer
Killer Croc,Ebony Maw
Killer Croc,Echo
Killer Croc,Ego
Killer Croc,Elektra
Killer Croc,Eternity
Killer Croc,Falcon
Killer Croc,Fandral
Killer Croc,Fat Thor
Killer Croc,Fenris
Killer Croc,Frigga
Killer Croc,G'iah
Killer Croc,Gamora
Killer Croc,Gargantos
Killer Croc,Ghost
Killer Croc,Ghost Rider
Killer Croc,Giant-Man
Killer Croc,Gilgamesh
Killer Croc,Gorr The God Butcher
Killer Croc,Gravik
Killer Croc,Groot
Killer Croc,Hawkeye
Killer Croc,Hawkeye
Killer Croc,Heimdall
Killer Croc,Hela
Killer Croc,High Evolutionary
Killer Croc,Hulk (Stark Gauntlet)
Killer Croc,Hulk
Killer Croc,Ikaris
Killer Croc,Iron Fist
Killer Croc,Iron Man
Killer Croc,Iron Man (Mk 1)
Killer Croc,Iron Man (Stark Gauntlet)
Killer Croc,Iron Man (Hulkbuster)
Killer Croc,Iron Monger
Killer Croc,Iron Spider
Killer Croc,Ironheart
Killer Croc,Jemiah The Analyzer
Killer Croc,Jessica Jones
Killer Croc,Kaecilius
Killer Croc,Kang the Conqueror
Killer Croc,Killian
Killer Croc,Killmonger
Killer Croc,Kingo
Killer Croc,Kingpin
Killer Croc,Korath The Pursuer
Killer Croc,Korg
Killer Croc,Kro
Killer Croc,Kurse
Killer Croc,Kid Loki
Killer Croc,Lady Loki
Killer Croc,Leo Fitz
Killer Croc,Leviathan
Killer Croc,Loki
Killer Croc,Loki (Mind Stone)
Killer Croc,Loki (Keeper Of The Multiverse)
Killer Croc,Loki (Variant L1130)
Killer Croc,Loki (King of Asgard)
Killer Croc,Luke Cage
Killer Croc,M'baku
Killer Croc,Makkari
Killer Croc,Malekith (Reality Stone)
Killer Croc,Malekith
Killer Croc,Mandarin
Killer Croc,Mantis
Killer Croc,Mighty Thor
Killer Croc,MODOK
Killer Croc,Moon Knight
Killer Croc,Mr. Fantastic (Earth 838)
Killer Croc,Mr. Knight
Killer Croc,Ms. America
Killer Croc,Ms. Marvel
Killer Croc,Mysterio
Killer Croc,Namor
Killer Croc,Nebula
Killer Croc,Nick Fury
Killer Croc,Nomad
Killer Croc,Odin
Killer Croc,Okoye
Killer Croc,Outrider
Killer Croc,Pepper Potts (Extremis)
Killer Croc,Phastos
Killer Croc,Photon
Killer Croc,Proxima Midnight
Killer Croc,Quake
Killer Croc,Quicksilver
Killer Croc,Red Guardian
Killer Croc,Red Skull (Stonekeeper)
Killer Croc,Red Skull
Killer Croc,Rescue
Killer Croc,Rocket Raccoon
Killer Croc,Ronan The Accuser (Power Stone)
Killer Croc,Ronan The Accuser
Killer Croc,Ronin
Killer Croc,Scarlet Witch
Killer Croc,Sersi (uni-mind)
Killer Croc,Sersi
Killer Croc,Shang-Chi
Killer Croc,She-Hulk
Killer Croc,Shuri
Killer Croc,Sif
Killer Croc,Sinister Strange
Killer Croc,Smart Hulk
Killer Croc,Spectral Vision
Killer Croc,Spider-Man
Killer Croc,Star-Lord (Celestial Power)
Killer Croc,Star-Lord
Killer Croc,Stature
Killer Croc,Surtur
Killer Croc,Swole Groot
Killer Croc,Talos The Untamed
Killer Croc,Taskmaster
Killer Croc,Teenage Groot
Killer Croc,Thanos
Killer Croc,Thanos (Infinity Gauntlet)
Killer Croc,The Collector
Killer Croc,The Executioner
Killer Croc,The Grandmaster
Killer Croc,The Great Protector
Killer Croc,The Punisher
Killer Croc,Thena
Killer Croc,Thor (Pre-Ragnarok)
Killer Croc,Thor (Awakened)
Killer Croc,Thor
Killer Croc,Ultron
Killer Croc,Unworthy Thor
Killer Croc,Valkyrie
Killer Croc,Vision
Killer Croc,Volstagg
Killer Croc,Vulture
Killer Croc,Wanda Maximoff (Pre-WandaVision)
Killer Croc,War Machine
Killer Croc,Warlock
Killer Croc,Wasp
Killer Croc,Whiplash
Killer Croc,Whiplash (Mark II)
Killer Croc,White Wolf
Killer Croc,Winter Soldier
Killer Croc,Wolverine
Killer Croc,Wong
Killer Croc,YellowJacket
Killer Croc,Yondu
Killer Croc,Zeus
King Nereus,King Shark
King Nereus,Lex Luthor
King Nereus,Lust
King Nereus,Mera
King Nereus,Mister Zsasz
King Nereus,Nam-Ek
King Nereus,Nuidis Vulko
King Nereus,Ocean Master
King Nereus,Parademon
King Nereus,Peacemaker
King Nereus,Penthesileia
King Nereus,Philippus
King Nereus,Polka-Dot Man
King Nereus,Queen Atlanna
King Nereus,Queen Hippolyta
King Nereus,Ratcatcher
King Nereus,Rick Flag
King Nereus,Sabbac
King Nereus,Savant
King Nereus,Shazam
King Nereus,Slipknot
King Nereus,Sol Soria
King Nereus,Starro
King Nereus,Steppenwolf
King Nereus,Supergirl
King Nereus,Superman
King Nereus,T.D.K.
King Nereus,The Flash
King Nereus,Vigilante
King Nereus,White Dragon
King Nereus,Wonder Woman (Armor of Asteria)
King Nereus,Wrath
King Nereus,Zeus
King Nereus,Agatha Harkness
King Nereus,Abomination
King Nereus,Ajak
King Nereus,Ancient One (time stone)
King Nereus,Ancient One
King Nereus,Ant-Man
King Nereus,Arishem The Judge
King Nereus,Ayo
King Nereus,Baby Groot
King Nereus,Baron Mordo
King Nereus,Baron Zemo
King Nereus,Black Bolt (Earth 838)
King Nereus,Black Bolt
King Nereus,Black Panther
King Nereus,Black Panther
King Nereus,Black Widow
King Nereus,Black Widow
King Nereus,Bucky Barnes
King Nereus,Bullseye
King Nereus,Captain America
King Nereus,Captain America (Worthy)
King Nereus,Captain Carter (Earth 838)
