,nombre_completo,nombre,universo,url,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,Tier2,superpoderes,heroe
60,Bruce Banner,Hulk,Marvel Cinematic Universe,https://www.superherodb.com/hulk/10-12494/,60,100,35,55,75,70,3,3,"['Accelerated Healing', 'Agility', 'Berserk Mode', 'Cold Resistance', 'Durability', 'Emotional Power Up', 'Endurance', 'Energy Resistance', 'Fearless', 'Fire Resistance', 'Gamma Mutant Physiology', 'Intelligence', 'Jump', 'Longevity', 'Radiation Absorption', 'Radiation Immunity', 'Rage Power', 'Reflexes', 'Seismic Power', 'Stamina', 'Super Speed', 'Super Strength', 'Supernatural Condition', 'Toxin and Disease Resistance', 'Underwater breathing', 'Acrobatics', 'Adaptation', 'Attack Negation', 'Attack Reflection', 'Bloodlust', 'Damage Boost', 'Dig', 'Electricity Resistance', 'Fear Inducement', 'Heat Resistance', 'Immortality', 'Indomitable Will', 'Invulnerability', 'Large Size', 'Master Martial Artist', 'Mind Control Resistance', 'Multiple Personalities', 'Regeneration', 'Shockwaves Generation', 'Space Survivability', 'Telepathy Resistance', 'Transformation', 'Weapons Master', 'Durability Negation', 'Gadget Usage', 'Magic Resistance', 'Master Tactician', 'Vehicular Mastery', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers', 'Revengers', 'Hulk', 'Avengers: Age Of Ultron (2015)', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Mcu Superheroes', 'Movie Heroes', 'My Collection', 'Red Ranked Warriors', 'Roleplaying Collection', 'The Incredible Hulk (2008)', 'Thor: Ragnarok (2017) 🔨🌩', 'MoNsTeR', 'Rotemeg', 'Ahasan', 'Unnamed_User', 'Chronicler', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Hulk
61,Ikaris,Ikaris,Marvel Cinematic Universe,https://www.superherodb.com/ikaris/10-26890/,75,50,100,55,75,75,3,3,"['Accelerated Healing', 'Acid Resistants', 'Agility', 'Cold Resistance', 'Durability', 'Endurance', 'Energy Beams', 'Energy Manipulation', 'Energy Resistance', 'Fire Resistance', 'Flight', 'Heat Resistance', 'Intelligence', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Reflexes', 'Soul Resistance', 'Space Survivability', 'Stamina', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Acrobatics', 'Dexterity', 'Electricity Resistance', 'Energy Blasts', 'Heat Generation', 'Immortality', 'Indomitable Will', 'Inorganic Physiology', 'Invulnerability', 'Jump', 'Leadership', 'Levitation', 'Magic Resistance', 'Multilingualism', 'Radiation Immunity', 'Regeneration', 'Self-Sustenance', 'Stealth', 'Vision - Night', 'Energy Constructs', 'Illumination', 'Interstellar Travel', 'Reality Warping Resistance', 'Time Manipulation Resistance', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Mcu Superheroes', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Chronicler', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Ikaris
62,Danny Rand,Iron Fist,Marvel Cinematic Universe,https://www.superherodb.com/iron-fist/10-15088/,65,25,25,15,30,100,1,,"['Berserk Mode', 'Chi Manipulation', 'Marksmanship', 'Master Martial Artist', 'Peak Human Condition', 'Reflexes', 'Stealth', 'Swordsmanship', 'Weapons Master', 'Accelerated Healing', 'Acrobatics', 'Agility', 'Cold Resistance', 'Empathy', 'Endurance', 'Energy Absorption', 'Energy Blasts', 'Master Tactician', 'Multilingualism', 'Pain Suppression', 'Regeneration', 'Stamina', 'Jump', 'Shockwaves Generation', 'Statistics Amplification', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Iron Fist', 'yes', 'MoNsTeR', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Chronicler', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Iron Fist
63,Tony Stark,Iron Man,Marvel Cinematic Universe,https://www.superherodb.com/iron-man/10-12496/,85,75,30,40,40,40,3,,"['Durability', 'Energy Beams', 'Intelligence', 'Intuitive aptitude', 'Master Tactician', 'Super Speed', 'Super Strength', 'Agility', 'Audio Control', 'Changing Armor', 'Cold Resistance', 'Electricity Absorption', 'Electricity Resistance', 'Energy Absorption', 'Energy Blasts', 'Energy Resistance', 'Explosion Manipulation', 'Fire Control', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Information Analysis', 'Levitation', 'Light Control', 'Mechanical Aptitude', 'Power Suit', 'Preparation', 'Radar Sense', 'Reflexes', 'Robotic Engineering', 'Technopath/Cyberpath', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Weapon-based Powers', 'Weapons Master', 'Master Martial Artist', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers', 'Iron Man', ""All The Characters I've Edited"", 'Avengers: Age Of Ultron (2015)', 'Avengers: Endgame (2019)', 'Blue Ranked Warriors', 'Columbia Pictures Marvel And Dark Horse Movie Heroes', 'Iron Man', 'Iron Man Live Action Armors', ""Mcu Spider-man's Friends And Allies"", 'Mcu Superheroes', 'Movie Heroes', 'My Collection', 'Roleplaying Collection', 'The Incredible Hulk (2008)', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Chronicler', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Iron Man
64,Tony Stark,Iron Man (Mk 1),Marvel Cinematic Universe,https://www.superherodb.com/iron-man-mk-1/10-22137/,85,30,10,25,20,20,1,,"['Durability', 'Energy Blasts', 'Intelligence', 'Stamina', 'Acrobatics', 'Damage Boost', 'Endurance', 'Energy Armor', 'Energy Resistance', 'Hacking', 'Heat Generation', 'Heat Resistance', 'Information Analysis', 'Intuitive aptitude', 'Marksmanship', 'Master Tactician', 'Mechanical Aptitude', 'Preparation', 'Robotic Engineering', 'Technological Possession', 'Weapon Creation', 'Weapon-based Powers', 'Weapons Master', 'Fire Control', 'Flight', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Iron Man', 'Iron Man', 'Iron Man Live Action Armors', 'White Ranked Warriors', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Chronicler', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Iron Man (MK 1)
65,Tony Stark,Iron Man (Stark Gauntlet),Marvel Cinematic Universe,https://www.superherodb.com/iron-man-stark-gauntlet/10-16953/,85,100,100,100,100,70,6,6++,"['Acid Resistants', 'Agility', 'Antimatter Manipulation', 'Astral Projection', 'Astral Trap', 'Attack Reflection', 'Audio Control', 'Black Hole Manipulation', 'Bullet Time', 'Causality Resistance', 'Clairvoyance Resistance', 'Cold Resistance', 'Conceptual Manipulation', 'Corruption Resistance', 'Creation', 'Curse Resistance', 'Death Manipulation', 'Deconstruction', 'Dexterity', 'Dimensional Travel', 'Dream Manipulation', 'Durability', 'Durability Negation', 'Electricity Absorption', 'Electricity Resistance', 'Element Control', 'Endurance', 'Energy Absorption', 'Energy Armor', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Fire Control', 'Fire Resistance', 'Flight', 'Force Fields', 'Heat Resistance', 'Illusion Resistance', 'Illusions', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Life Manipulation', 'Light Control', 'Matter Absorption', 'Matter Manipulation', 'Mind Control', 'Mind Control Resistance', 'Molecular Manipulation', 'Pain Manipulation', 'Petrification', 'Physics Manipulation', 'Portal Creation', 'Power Absorption', 'Power Absorption Immunity', 'Power Nullifier', 'Preparation', 'Projection', 'Reality Warping', 'Reality Warping Resistance', 'Reflexes', 'Resurrection', 'Sealing', 'Shockwaves Generation', 'Size Changing', 'Soul Manipulation', 'Soul Resistance', 'Spatial Manipulation', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Technopath/Cyberpath', 'Telepathy Resistance', 'Teleportation', 'Time Manipulation', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Vehicular Mastery', 'Vibration Manipulation', 'Weapon Creation', 'Accelerated Healing', 'Age Manipulation', 'Banish', 'Clairvoyance', 'Dark Matter Manipulation', 'Death Touch', 'Existence Erasure', 'Existence Erasure Resistance', 'Explosion Manipulation', 'Fate Manipulation', 'Fusion', 'Gravity Control', 'Heat Generation', 'Immortality', 'Indomitable Will', 'Information Analysis', 'Intangibility', 'Invisibility', 'Large Size', 'Levitation', 'Magic Resistance', 'Master Tactician', 'Necromancy', 'Power Bestowal', 'Precognition', 'Radar Sense', 'Radiation Absorption', 'Radiation Control', 'Radiation Immunity', 'Regeneration', 'Robotic Engineering', 'Spatial Awareness', 'Telekinesis', 'Telepathy', 'Terrakinesis', 'Time Travel', 'Vision - Microscopic', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Iron Man', ""All The Characters I've Edited"", 'Iron Man', 'My Collection', 'Roleplaying Collection', 'yes', 'MoNsTeR', 'Chronicler', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Iron Man (Stark Gauntlet)
66,Tony Stark,Iron Man (Hulkbuster),Marvel Cinematic Universe,https://www.superherodb.com/iron-man-hulkbuster/10-18649/,75,75,25,40,60,70,3,,"['Durability', 'Endurance', 'Energy Blasts', 'Intelligence', 'Stamina', 'Super Speed', 'Super Strength', 'Weapon-based Powers', 'Acrobatics', 'Agility', 'Changing Armor', 'Cold Resistance', 'Electricity Absorption', 'Electricity Resistance', 'Energy Beams', 'Energy Resistance', 'Enhanced Sight', 'Explosion Manipulation', 'Fire Resistance', 'Flight', 'Heat Generation', 'Heat Resistance', 'Invulnerability', 'Jump', 'Marksmanship', 'Reflexes', 'Robotic Engineering', 'Stealth', 'Technopath/Cyberpath', 'Toxin and Disease Resistance', 'Vision - Infrared', 'Vision - Night', 'Vision - Telescopic', 'Vision - Thermal', 'Weapons Master', 'Dexterity', 'Hacking', 'Master Tactician', 'Radiation Immunity', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Iron Man', 'Iron Man', 'Iron Man Live Action Armors', 'My Collection', 'Chronicler', 'yes', 'MoNsTeR', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Iron Man (Hulkbuster)
67,Obadiah Stane,Iron Monger,Marvel Cinematic Universe,https://www.superherodb.com/iron-monger/10-13973/,65,50,25,35,30,20,2,,"['Durability', 'Intelligence', 'Super Speed', 'Super Strength', 'Energy Beams', 'Energy Blasts', 'Energy Resistance', 'Explosion Manipulation', 'Fire Resistance', 'Flight', 'Heat Resistance', 'Levitation', 'Power Suit', 'Vision - Night', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Iron Monger', 'Movie Heroes', 'My Collection', 'Chronicler', 'yes', 'MoNsTeR', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Iron Monger
68,Peter Parker,Iron Spider,Marvel Cinematic Universe,https://www.superherodb.com/iron-spider/10-12563/,85,30,25,25,40,60,1,,"['Acrobatics', 'Agility', 'Animal Oriented Powers', 'Cold Resistance', 'Disguise Mastery', 'Durability', 'Endurance', 'Enhanced Condition', 'Hacking', 'Heat Resistance', 'Instinctive Reaction', 'Intelligence', 'Jump', 'Nanotechnology', 'Peak Human Condition', 'Reflexes', 'Space Survivability', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Surface Scaling', 'Wallcrawling', 'Web Creation', 'Accelerated Healing', 'Animal Attributes', 'Danger Sense', 'Dexterity', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Extrasensory Perception', 'Gadget Usage', 'Grappling/Climbing', 'Heat Generation', 'Illusion Resistance', 'Indomitable Will', 'Master Martial Artist', 'Master Tactician', 'Power Suit', 'Preparation', 'Pressure Points', 'Scanning', 'Toxin and Disease Resistance', 'Vision - Heat', 'Vision - Night', 'Vision - Thermal', 'Weapon-based Powers', 'Electrokinesis', 'Energy Blasts', 'Energy Resistance', 'Gliding', 'Information Analysis', 'Invulnerability', 'Soul Resistance', 'Technopath/Cyberpath', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Avengers', 'Iron Spider', 'Avengers: Endgame (2019)', 'Avengers: Infinity War (2018)', 'Blue Ranked Warriors', 'Characters Who Can Solo Five Night At Freddy', 'My Collection', 'My Favorite Characters ⭐ Pcf Updated', 'Roleplaying Collection', 'Spider-man: No Way Home (2021)', 'MoNsTeR', 'Chronicler', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Iron Spider
69,Riri Williams,Ironheart,Marvel Cinematic Universe,https://www.superherodb.com/ironheart/10-29214/,80,25,25,20,30,30,1,,"['Agility', 'Cold Resistance', 'Energy Blasts', 'Energy Constructs', 'Fire Resistance', 'Flight', 'Hacking', 'Heat Resistance', 'Information Analysis', 'Intuitive aptitude', 'Levitation', 'Mechanical Aptitude', 'Power Suit', 'Reflexes', 'Robotic Engineering', 'Stamina', 'Vehicular Mastery', 'Weapon-based Powers', 'Acrobatics', 'Weapon Creation', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Ironheart', 'A-force (mcu)', 'Chronicler', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Ironheart
70,Jemiah,Jemiah The Analyzer,Marvel Cinematic Universe,https://www.superherodb.com/jemiah-the-analyzer/10-30336/,100,100,100,90,100,30,6,5++,"['Accelerated Healing', 'Acid Resistants', 'Agility', 'Animation', 'Antimatter Manipulation', 'Banish', 'Black Hole Manipulation', 'Clairvoyance', 'Cold Resistance', 'Cosmic Awareness', 'Creation', 'Dark Matter Manipulation', 'Durability', 'Electricity Resistance', 'Element Control', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Explosion Manipulation', 'Fire Resistance', 'Flight', 'Godly Physiology', 'Gravity Control', 'Heat Generation', 'Heat Resistance', 'Illumination', 'Immortality', 'Information Analysis', 'Inorganic Physiology', 'Intelligence', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Large Size', 'Latent Abilities', 'Life Manipulation', 'Light Control', 'Longevity', 'Matter Manipulation', 'Nigh-Omniscience', 'Radiation Control', 'Radiation Immunity', 'Reality Warping Resistance', 'Reflexes', 'Self-Sustenance', 'Shockwaves Generation', 'Size Changing', 'Soul Resistance', 'Space Survivability', 'Spaceflight', 'Spatial Awareness', 'Stamina', 'Stealth', 'Summoning', 'Super Speed', 'Super Strength', 'Telekinesis', 'Telepathy', 'Telepathy Resistance', 'Terrakinesis', 'Time Manipulation Resistance', 'Toxin and Disease Resistance', 'Underwater breathing', 'Vision - Night', 'Vision - Telescopic', 'Vision - X-Ray', 'Vortex Creation', 'Accelerated Development', 'Age Manipulation', 'Attack Negation', 'Aura', 'Corruption Resistance', 'Danger Sense', 'Dexterity', 'Disguise Resistance', 'Energy Absorption', 'Hellfire Resistance', 'Indomitable Will', 'Levitation', 'Mind Control Resistance', 'Portal Creation', 'Possession Resistance', 'Power Bestowal', 'Power Modification', 'Regeneration', 'Spatial Manipulation', 'Toxin and Disease Control', 'Wishing', 'Master Martial Artist', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Chronicler', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Jemiah the Analyzer
71,Jessica Jones,Jessica Jones,Marvel Cinematic Universe,https://www.superherodb.com/jessica-jones/10-15089/,60,25,13,15,20,60,1,,"['Stamina', 'Agility', 'Dexterity', 'Endurance', 'Heat Resistance', 'Information Analysis', 'Jump', 'Master Martial Artist', 'Mind Control Resistance', 'Reflexes', 'Accelerated Healing', 'Regeneration', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Jessica Jones', 'Chronicler', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Jessica Jones
72,Kaecilius,Kaecilius,Marvel Cinematic Universe,https://www.superherodb.com/kaecilius/10-16353/,75,25,25,35,80,70,4,4,"['Durability', 'Gravity Control', 'Intelligence', 'Matter Manipulation', 'Portal Creation', 'Stamina', 'Super Speed', 'Super Strength', 'Teleportation', 'Acrobatics', 'Agility', 'Anti-Gravity', 'Astral Projection', 'Dexterity', 'Dimensional Travel', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Fire Resistance', 'Force Fields', 'Illumination', 'Interstellar Travel', 'Invulnerability', 'Jump', 'Marksmanship', 'Master Martial Artist', 'Master Tactician', 'Power Absorption', 'Reality Warping', 'Reflexes', 'Stealth', 'Telekinesis', 'Weapon Creation', 'Weapons Master', 'Cold Resistance', 'Heat Resistance', 'Immortality', 'Soul Manipulation', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'My Collection', 'Chronicler', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Kaecilius
73,Nathaniel Richards,Kang the Conqueror,Marvel Cinematic Universe,https://www.superherodb.com/kang-the-conqueror/10-28927/,80,25,25,45,75,80,4,4,"['Agility', 'Bloodlust', 'Density Control', 'Energy Beams', 'Energy Blasts', 'Force Fields', 'Intelligence', 'Super Strength', 'Technopath/Cyberpath', 'Telekinesis', 'Time Travel', 'Adaptation', 'Attack Reflection', 'Cloth Manipulation', 'Danger Sense', 'Dimensional Travel', 'Electrokinesis', 'Endurance', 'Energy Absorption', 'Energy Manipulation', 'Energy Resistance', 'Flight', 'Illusions', 'Interstellar Travel', 'Leadership', 'Levitation', 'Master Martial Artist', 'Master Tactician', 'Mind Control Resistance', 'Paralysis', 'Portal Creation', 'Power Absorption', 'Psionic Powers', 'Shockwaves Generation', 'Stealth', 'Summoning', 'Telepathy Resistance', 'Teleportation', 'Time Manipulation', 'Vision - X-Ray', 'Weapon Creation', 'Weapon Summoning', 'Weapons Master', 'Invulnerability', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Kang the Conqueror', 'Roleplaying Collection', 'Chronicler', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Kang the Conqueror
74,Aldrich Killian,Killian,Marvel Cinematic Universe,https://www.superherodb.com/killian/10-13899/,80,13,20,20,40,70,2,,"['Berserk Mode', 'Cold Resistance', 'Fire Control', 'Fire Resistance', 'Heat Generation', 'Heat Resistance', 'Rage Power', 'Reflexes', 'Accelerated Healing', 'Indomitable Will', 'Master Martial Artist', 'Pain Suppression', 'Preparation', 'Regeneration', 'Agility', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Killian', 'My Collection', 'Chronicler', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Killian
75,Erik Killmonger,Killmonger,Marvel Cinematic Universe,https://www.superherodb.com/killmonger/10-16698/,80,25,20,30,30,95,1,,"['Acrobatics', 'Agility', 'Endurance', 'Energy Absorption', 'Hunters Instinct', 'Intelligence', 'Master Martial Artist', 'Peak Human Condition', 'Preparation', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Vision - Night', 'Weapons Master', 'Accelerated Healing', 'Acid Resistants', 'Animal Oriented Powers', 'Attack Reflection', 'Camouflage', 'Cold Resistance', 'Dexterity', 'Gadget Usage', 'Jump', 'Master Tactician', 'Shockwaves Generation', 'Swordsmanship', 'Weapon-based Powers', 'Adaptation', 'Animal Attributes', 'Berserk Mode', 'Energy Blasts', 'Enhanced Hearing', 'Enhanced Sight', 'Fire Resistance', 'Heat Resistance', 'Power Suit', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Killmonger', 'My Collection', 'Chronicler', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Killmonger
76,,Kingo,Marvel Cinematic Universe,https://www.superherodb.com/kingo/10-30843/,65,25,19,25,50,55,2,1++,"['Durability', 'Intelligence', 'Stamina', 'Super Strength', 'Accelerated Healing', 'Agility', 'Cold Resistance', 'Endurance', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Immortality', 'Marksmanship', 'Radiation Immunity', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Stealth', 'Toxin and Disease Resistance', 'Acrobatics', 'Energy Constructs', 'Heat Generation', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Chronicler', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Kingo
77,Wilson Fisk,Kingpin,Marvel Cinematic Universe,https://www.superherodb.com/kingpin/10-14266/,70,13,8,10,10,70,1,,"['Berserk Mode', 'Master Tactician', 'Social Influencing', 'Marksmanship', 'Master Martial Artist', 'Vehicular Mastery', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Kingpin', 'Which Is Best Kingpin Design', 'Chronicler', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Kingpin
78,Korath-Thak,Korath The Pursuer,Marvel Cinematic Universe,https://www.superherodb.com/korath-the-pursuer/10-14386/,0,0,0,0,0,0,0,,"['Marvel Comics', 'MCU - Marvel Cinematic Universe', 'My Collection', 'Chronicler', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Korath the Pursuer
79,Korg,Korg,Marvel Cinematic Universe,https://www.superherodb.com/korg/10-13764/,55,25,8,15,35,65,1,,"['Durability', 'Fire Resistance', 'Stamina', 'Super Speed', 'Super Strength', 'Agility', 'Cold Resistance', 'Endurance', 'Energy Resistance', 'Heat Resistance', 'Toxin and Disease Resistance', 'Energy Blasts', 'Invulnerability', 'Large Size', 'Marksmanship', 'Master Martial Artist', 'Reflexes', 'Weapon-based Powers', 'Weapons Master', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Revengers', 'Korg', 'Avengers: Endgame (2019)', 'My Collection', 'Thor: Ragnarok (2017) 🔨🌩', 'Chronicler', 'MoNsTeR', 'yes', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Korg
80,,Kro,Marvel Cinematic Universe,https://www.superherodb.com/kro/10-28128/,60,30,20,15,90,80,3,,"['Accelerated Healing', 'Energy Absorption', 'Immortality', 'Intelligence', 'Super Strength', 'Ability Shift', 'Regeneration', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'yes', 'Chronicler', 'MoNsTeR', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Kro
81,Algrim,Kurse,Marvel Cinematic Universe,https://www.superherodb.com/kurse/10-13894/,55,100,25,50,55,65,3,,"['Cold Resistance', 'Durability', 'Heat Generation', 'Heat Resistance', 'Pain Suppression', 'Super Speed', 'Super Strength', 'Toxin and Disease Resistance', 'Accelerated Healing', 'Acid Resistants', 'Attack Negation', 'Berserk Mode', 'Dexterity', 'Durability Negation', 'Electricity Resistance', 'Endurance', 'Energy Resistance', 'Fire Resistance', 'Invulnerability', 'Longevity', 'Mind Control Resistance', 'Reflexes', 'Regeneration', 'Stamina', 'Weapons Master', 'Banish', 'Black Hole Manipulation', 'Gravity Control', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Kurse', 'My Collection', 'Thor: The Dark World (2013)', 'yes', 'Chronicler', 'MoNsTeR', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Kurse
82,Loki Laufeyson,Kid Loki,Marvel Cinematic Universe,https://www.superherodb.com/kid-loki/10-32405/,70,5,6,20,30,60,1,,"['Intelligence', 'Berserk Mode', 'Weapon Creation', 'Weapons Master', 'Agility', 'Cold Resistance', 'Endurance', 'Enhanced Memory', 'Grappling/Climbing', 'Heat Resistance', 'Magic', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Loki', 'yes', 'Chronicler', 'MoNsTeR', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Kid Loki
83,Loki Laufeydottir,Lady Loki,Marvel Cinematic Universe,https://www.superherodb.com/lady-loki/10-28675/,85,50,25,35,70,85,2,1++,"['Accelerated Healing', 'Cold Resistance', 'Durability', 'Endurance', 'Hypnokinesis', 'Intelligence', 'Longevity', 'Magic', 'Master Martial Artist', 'Master Tactician', 'Mind Control', 'Reflexes', 'Stamina', 'Stealth', 'Super Speed', 'Super Strength', 'Telekinesis', 'Toxin and Disease Resistance', 'Acrobatics', 'Agility', 'Body Puppetry', 'Cloth Manipulation', 'Dexterity', 'Energy Blasts', 'Energy Constructs', 'Energy Manipulation', 'Energy Resistance', 'Fear Inducement', 'Fearless', 'Illusion Resistance', 'Indomitable Will', 'Jump', 'Latent Abilities', 'Magic Resistance', 'Marksmanship', 'Memory Manipulation', 'Mind Control Resistance', 'Non-Physical Interaction', 'Power Bestowal', 'Psionic Powers', 'Psychometry', 'Self-Sustenance', 'Telepathy', 'Telepathy Resistance', 'Weapons Master', 'Banish', 'Existence Erasure Resistance', 'Fire Control', 'Heat Generation', 'Illumination', 'Illusions', 'Multilingualism', 'Portal Creation', 'Possession', 'Regeneration', 'Teleportation', 'Time Manipulation', 'Time Travel', 'Weapon-based Powers', 'Marvel Comics', 'MCU - Marvel Cinematic Universe', 'Loki', 'yes', 'Chronicler', 'MoNsTeR', 'Ahasan', 'Rotemeg', 'Unnamed_User', 'Juzo', 'Rez005', 'Aleazlllll', 'Ezio', 'TheReinhard', 'BlotskyA', 'All Users']",Lady Loki
