Heroe_1,Heroe_2
T.D.K.,Black Noir (replacement)
T.D.K.,Black Noir
T.D.K.,Cate Dunlap
T.D.K.,Crimson Countess
T.D.K.,Firecracker
T.D.K.,Golden Boy
T.D.K.,Homelander
T.D.K.,Hughie Campbell (V24)
T.D.K.,Lamplighter
T.D.K.,Little Cricket
T.D.K.,Marie Moreau
T.D.K.,Mesmer
T.D.K.,Mother's Milk
T.D.K.,Naqib
T.D.K.,Queen Maeve
T.D.K.,Ryan Butcher
T.D.K.,Sam Riordan
T.D.K.,Shockwave
T.D.K.,Sister Sage
T.D.K.,Soldier Boy
T.D.K.,Splinter
T.D.K.,Starlight
T.D.K.,Stormfront
T.D.K.,Supe Terrorist
T.D.K.,Tek Knight
T.D.K.,The Deep
T.D.K.,The Female
T.D.K.,Translucent
T.D.K.,Victoria Neuman
T.D.K.,Webweaver
T.D.K.,Zoe Neuman
T.D.K.,Agatha Harkness
T.D.K.,Abomination
T.D.K.,Ajak
T.D.K.,Ancient One (time stone)
T.D.K.,Ancient One
T.D.K.,Ant-Man
T.D.K.,Arishem The Judge
T.D.K.,Ayo
T.D.K.,Baby Groot
T.D.K.,Baron Mordo
T.D.K.,Baron Zemo
T.D.K.,Black Bolt (Earth 838)
T.D.K.,Black Bolt
T.D.K.,Black Panther
T.D.K.,Black Panther
T.D.K.,Black Widow
T.D.K.,Black Widow
T.D.K.,Bucky Barnes
T.D.K.,Bullseye
T.D.K.,Captain America
T.D.K.,Captain America (Worthy)
T.D.K.,Captain Carter (Earth 838)
T.D.K.,Captain Marvel
T.D.K.,Chitauri Footsoldier
T.D.K.,Corvus Glaive
T.D.K.,Crossbones
T.D.K.,Cull Obsidian
T.D.K.,Dar-Benn
T.D.K.,Daredevil
T.D.K.,Deathlok
T.D.K.,Destroyer
T.D.K.,Doctor Strange
T.D.K.,Dormammu
T.D.K.,Drax The Destroyer
T.D.K.,Ebony Maw
T.D.K.,Echo
T.D.K.,Ego
T.D.K.,Elektra
T.D.K.,Eternity
T.D.K.,Falcon
T.D.K.,Fandral
T.D.K.,Fat Thor
T.D.K.,Fenris
T.D.K.,Frigga
T.D.K.,G'iah
T.D.K.,Gamora
T.D.K.,Gargantos
T.D.K.,Ghost
T.D.K.,Ghost Rider
T.D.K.,Giant-Man
T.D.K.,Gilgamesh
T.D.K.,Gorr The God Butcher
T.D.K.,Gravik
T.D.K.,Groot
T.D.K.,Hawkeye
T.D.K.,Hawkeye
T.D.K.,Heimdall
T.D.K.,Hela
T.D.K.,High Evolutionary
T.D.K.,Hulk (Stark Gauntlet)
T.D.K.,Hulk
T.D.K.,Ikaris
T.D.K.,Iron Fist
T.D.K.,Iron Man
T.D.K.,Iron Man (Mk 1)
T.D.K.,Iron Man (Stark Gauntlet)
T.D.K.,Iron Man (Hulkbuster)
T.D.K.,Iron Monger
T.D.K.,Iron Spider
T.D.K.,Ironheart
T.D.K.,Jemiah The Analyzer
T.D.K.,Jessica Jones
T.D.K.,Kaecilius
T.D.K.,Kang the Conqueror
T.D.K.,Killian
T.D.K.,Killmonger
T.D.K.,Kingo
T.D.K.,Kingpin
T.D.K.,Korath The Pursuer
T.D.K.,Korg
T.D.K.,Kro
T.D.K.,Kurse
T.D.K.,Kid Loki
T.D.K.,Lady Loki
T.D.K.,Leo Fitz
T.D.K.,Leviathan
T.D.K.,Loki
T.D.K.,Loki (Mind Stone)
T.D.K.,Loki (Keeper Of The Multiverse)
T.D.K.,Loki (Variant L1130)
T.D.K.,Loki (King of Asgard)
T.D.K.,Luke Cage
T.D.K.,M'baku
T.D.K.,Makkari
T.D.K.,Malekith (Reality Stone)
T.D.K.,Malekith
T.D.K.,Mandarin
T.D.K.,Mantis
T.D.K.,Mighty Thor
T.D.K.,MODOK
T.D.K.,Moon Knight
T.D.K.,Mr. Fantastic (Earth 838)
T.D.K.,Mr. Knight
T.D.K.,Ms. America
T.D.K.,Ms. Marvel
T.D.K.,Mysterio
T.D.K.,Namor
T.D.K.,Nebula
T.D.K.,Nick Fury
T.D.K.,Nomad
T.D.K.,Odin
T.D.K.,Okoye
T.D.K.,Outrider
T.D.K.,Pepper Potts (Extremis)
T.D.K.,Phastos
T.D.K.,Photon
T.D.K.,Proxima Midnight
T.D.K.,Quake
T.D.K.,Quicksilver
T.D.K.,Red Guardian
T.D.K.,Red Skull (Stonekeeper)
T.D.K.,Red Skull
T.D.K.,Rescue
T.D.K.,Rocket Raccoon
T.D.K.,Ronan The Accuser (Power Stone)
T.D.K.,Ronan The Accuser
T.D.K.,Ronin
T.D.K.,Scarlet Witch
T.D.K.,Sersi (uni-mind)
T.D.K.,Sersi
T.D.K.,Shang-Chi
T.D.K.,She-Hulk
T.D.K.,Shuri
T.D.K.,Sif
T.D.K.,Sinister Strange
T.D.K.,Smart Hulk
T.D.K.,Spectral Vision
T.D.K.,Spider-Man
T.D.K.,Star-Lord (Celestial Power)
T.D.K.,Star-Lord
T.D.K.,Stature
T.D.K.,Surtur
T.D.K.,Swole Groot
T.D.K.,Talos The Untamed
T.D.K.,Taskmaster
T.D.K.,Teenage Groot
T.D.K.,Thanos
T.D.K.,Thanos (Infinity Gauntlet)
T.D.K.,The Collector
T.D.K.,The Executioner
T.D.K.,The Grandmaster
T.D.K.,The Great Protector
T.D.K.,The Punisher
T.D.K.,Thena
T.D.K.,Thor (Pre-Ragnarok)
T.D.K.,Thor (Awakened)
T.D.K.,Thor
T.D.K.,Ultron
T.D.K.,Unworthy Thor
T.D.K.,Valkyrie
T.D.K.,Vision
T.D.K.,Volstagg
T.D.K.,Vulture
T.D.K.,Wanda Maximoff (Pre-WandaVision)
T.D.K.,War Machine
T.D.K.,Warlock
T.D.K.,Wasp
T.D.K.,Whiplash
T.D.K.,Whiplash (Mark II)
T.D.K.,White Wolf
T.D.K.,Winter Soldier
T.D.K.,Wolverine
T.D.K.,Wong
T.D.K.,YellowJacket
T.D.K.,Yondu
T.D.K.,Zeus
T.D.K.,Gogeta (Super Saiyan 4)
T.D.K.,Goku (Super Saiyan 3)
T.D.K.,Goku (Super Saiyan 2)
T.D.K.,Goku (Super Saiyan 4)
T.D.K.,Goku Jr.
T.D.K.,Goten
T.D.K.,Pan
T.D.K.,Piccolo
T.D.K.,Son Goku
T.D.K.,Syn Shenron
T.D.K.,Trunks
T.D.K.,Uub
T.D.K.,Android 16
T.D.K.,Android 17
T.D.K.,Android 18
T.D.K.,Android 19
T.D.K.,Aniraza
T.D.K.,Arak
T.D.K.,Bandages The Mummy
T.D.K.,Bardock (Super Saiyan)
T.D.K.,Bardock
T.D.K.,Basil
T.D.K.,Beerus
T.D.K.,Belmod
T.D.K.,Bergamo
T.D.K.,Biarra
T.D.K.,Bido
T.D.K.,Bikal
T.D.K.,Black Frieza
T.D.K.,Bojack
T.D.K.,Borareta
T.D.K.,Botamo
T.D.K.,Broly (Z)
T.D.K.,Broly (Ikari)
T.D.K.,Broly (Super Saiyan)
T.D.K.,Broly
T.D.K.,Bujin
T.D.K.,Burter
T.D.K.,Buu (Good)
T.D.K.,Buu (Grand Supreme Kai)
T.D.K.,Buuhan
T.D.K.,Buutenks
T.D.K.,Cabba (Super Saiyan)
T.D.K.,Cabba (Super Saiyan 2)
T.D.K.,Cabba
T.D.K.,Dende
T.D.K.,Dercori
T.D.K.,Dodoria
T.D.K.,Dore
T.D.K.,Dr Gero
T.D.K.,Dyspo (Super Maximum Light Speed)
T.D.K.,Dyspo
T.D.K.,Frieza
T.D.K.,Frieza (First Form)
T.D.K.,Frieza (Second Form)
T.D.K.,Frieza (Third Form)
T.D.K.,Fusion Zamasu
T.D.K.,Future Trunks (Cell Saga)
T.D.K.,Gogeta
T.D.K.,Gogeta (Super Saiyan)
T.D.K.,Gogeta (Super Saiyan Blue)
T.D.K.,Gohan (Beast)
T.D.K.,Gohan (Potential Unleashed)
T.D.K.,Gohan (SS2)
T.D.K.,Gohan (Super Saiyan)
T.D.K.,Gohan
T.D.K.,Goku (Super Saiyan Blue Kaioken)
T.D.K.,Goku
T.D.K.,Goku (Mastered Ultra Instinct)
T.D.K.,Goku (Saiyan Saga)
T.D.K.,Goku (True Ultra Instinct)
T.D.K.,Goku (Super Saiyan God)
T.D.K.,Goku (Super Saiyan 2)
T.D.K.,Goku (Ultra Instinct)
T.D.K.,Goku (Super Saiyan Blue)
T.D.K.,Goku (Super Saiyan 3)
T.D.K.,Goku Black (Super Saiyan Rosé)
T.D.K.,Goku Black
T.D.K.,Goten (Super Saiyan)
T.D.K.,Goten
T.D.K.,Gotenks (Super Saiyan 3)
T.D.K.,Gotenks (SS2)
T.D.K.,Grand Priest
T.D.K.,Jaco
T.D.K.,Kami
T.D.K.,Kid Buu
T.D.K.,Kid Gohan
T.D.K.,Kid Goku
T.D.K.,King Vegeta
T.D.K.,Krillin
T.D.K.,Vegeta (Ascended Super Saiyan)
T.D.K.,Vegeta (Unbound Ultra Ego)
T.D.K.,Vegeta (Super Saiyan Blue Evolved)
T.D.K.,Vegeta (Super Saiyan 2)
T.D.K.,Vegeta (Super Saiyan Blue)
T.D.K.,Vegeta (Hakai Energy)
T.D.K.,Vegeta (Super Saiyan)
T.D.K.,Vegeta
T.D.K.,Vegeta (Super Saiyan God)
T.D.K.,Vegito
T.D.K.,Vegito (Super Saiyan)
The Flash,Vigilante
The Flash,White Dragon
The Flash,Wonder Woman (Armor of Asteria)
The Flash,Wrath
The Flash,Zeus
The Flash,A-Train
The Flash,Billy Butcher
The Flash,Billy Butcher (V24)
The Flash,Billy Butchter (tumor)
The Flash,Black Noir (replacement)
The Flash,Black Noir
The Flash,Cate Dunlap
The Flash,Crimson Countess
The Flash,Firecracker
The Flash,Golden Boy
The Flash,Homelander
The Flash,Hughie Campbell (V24)
The Flash,Lamplighter
The Flash,Little Cricket
The Flash,Marie Moreau
The Flash,Mesmer
The Flash,Mother's Milk
The Flash,Naqib
The Flash,Queen Maeve
The Flash,Ryan Butcher
The Flash,Sam Riordan
The Flash,Shockwave
The Flash,Sister Sage
The Flash,Soldier Boy
The Flash,Splinter
The Flash,Starlight
The Flash,Stormfront
The Flash,Supe Terrorist
The Flash,Tek Knight
The Flash,The Deep
The Flash,The Female
The Flash,Translucent
The Flash,Victoria Neuman
The Flash,Webweaver
The Flash,Zoe Neuman
The Flash,Agatha Harkness
The Flash,Abomination
The Flash,Ajak
The Flash,Ancient One (time stone)
The Flash,Ancient One
The Flash,Ant-Man
The Flash,Arishem The Judge
The Flash,Ayo
The Flash,Baby Groot
The Flash,Baron Mordo
The Flash,Baron Zemo
The Flash,Black Bolt (Earth 838)
The Flash,Black Bolt
The Flash,Black Panther
The Flash,Black Panther
The Flash,Black Widow
The Flash,Black Widow
The Flash,Bucky Barnes
The Flash,Bullseye
The Flash,Captain America
The Flash,Captain America (Worthy)
The Flash,Captain Carter (Earth 838)
The Flash,Captain Marvel
The Flash,Chitauri Footsoldier
The Flash,Corvus Glaive
The Flash,Crossbones
The Flash,Cull Obsidian
The Flash,Dar-Benn
The Flash,Daredevil
The Flash,Deathlok
The Flash,Destroyer
The Flash,Doctor Strange
The Flash,Dormammu
The Flash,Drax The Destroyer
The Flash,Ebony Maw
The Flash,Echo
The Flash,Ego
The Flash,Elektra
The Flash,Eternity
The Flash,Falcon
The Flash,Fandral
The Flash,Fat Thor
The Flash,Fenris
The Flash,Frigga
The Flash,G'iah
The Flash,Gamora
The Flash,Gargantos
The Flash,Ghost
The Flash,Ghost Rider
The Flash,Giant-Man
The Flash,Gilgamesh
The Flash,Gorr The God Butcher
The Flash,Gravik
The Flash,Groot
The Flash,Hawkeye
The Flash,Hawkeye
The Flash,Heimdall
The Flash,Hela
The Flash,High Evolutionary
The Flash,Hulk (Stark Gauntlet)
The Flash,Hulk
The Flash,Ikaris
The Flash,Iron Fist
The Flash,Iron Man
The Flash,Iron Man (Mk 1)
The Flash,Iron Man (Stark Gauntlet)
The Flash,Iron Man (Hulkbuster)
The Flash,Iron Monger
The Flash,Iron Spider
The Flash,Ironheart
The Flash,Jemiah The Analyzer
The Flash,Jessica Jones
The Flash,Kaecilius
The Flash,Kang the Conqueror
The Flash,Killian
The Flash,Killmonger
The Flash,Kingo
The Flash,Kingpin
The Flash,Korath The Pursuer
The Flash,Korg
The Flash,Kro
The Flash,Kurse
The Flash,Kid Loki
The Flash,Lady Loki
The Flash,Leo Fitz
The Flash,Leviathan
The Flash,Loki
The Flash,Loki (Mind Stone)
The Flash,Loki (Keeper Of The Multiverse)
The Flash,Loki (Variant L1130)
The Flash,Loki (King of Asgard)
The Flash,Luke Cage
The Flash,M'baku
The Flash,Makkari
The Flash,Malekith (Reality Stone)
The Flash,Malekith
The Flash,Mandarin
The Flash,Mantis
The Flash,Mighty Thor
The Flash,MODOK
The Flash,Moon Knight
The Flash,Mr. Fantastic (Earth 838)
The Flash,Mr. Knight
The Flash,Ms. America
The Flash,Ms. Marvel
The Flash,Mysterio
The Flash,Namor
The Flash,Nebula
The Flash,Nick Fury
The Flash,Nomad
The Flash,Odin
The Flash,Okoye
The Flash,Outrider
The Flash,Pepper Potts (Extremis)
The Flash,Phastos
The Flash,Photon
The Flash,Proxima Midnight
The Flash,Quake
The Flash,Quicksilver
The Flash,Red Guardian
The Flash,Red Skull (Stonekeeper)
The Flash,Red Skull
The Flash,Rescue
The Flash,Rocket Raccoon
The Flash,Ronan The Accuser (Power Stone)
The Flash,Ronan The Accuser
The Flash,Ronin
The Flash,Scarlet Witch
The Flash,Sersi (uni-mind)
The Flash,Sersi
The Flash,Shang-Chi
The Flash,She-Hulk
The Flash,Shuri
The Flash,Sif
The Flash,Sinister Strange
The Flash,Smart Hulk
The Flash,Spectral Vision
The Flash,Spider-Man
The Flash,Star-Lord (Celestial Power)
The Flash,Star-Lord
The Flash,Stature
The Flash,Surtur
The Flash,Swole Groot
The Flash,Talos The Untamed
The Flash,Taskmaster
The Flash,Teenage Groot
The Flash,Thanos
The Flash,Thanos (Infinity Gauntlet)
The Flash,The Collector
The Flash,The Executioner
The Flash,The Grandmaster
The Flash,The Great Protector
The Flash,The Punisher
The Flash,Thena
The Flash,Thor (Pre-Ragnarok)
The Flash,Thor (Awakened)
The Flash,Thor
The Flash,Ultron
The Flash,Unworthy Thor
The Flash,Valkyrie
The Flash,Vision
The Flash,Volstagg
The Flash,Vulture
The Flash,Wanda Maximoff (Pre-WandaVision)
The Flash,War Machine
The Flash,Warlock
The Flash,Wasp
The Flash,Whiplash
The Flash,Whiplash (Mark II)
The Flash,White Wolf
The Flash,Winter Soldier
The Flash,Wolverine
The Flash,Wong
The Flash,YellowJacket
The Flash,Yondu
The Flash,Zeus
The Flash,Gogeta (Super Saiyan 4)
The Flash,Goku (Super Saiyan 3)
The Flash,Goku (Super Saiyan 2)
The Flash,Goku (Super Saiyan 4)
The Flash,Goku Jr.
The Flash,Goten
The Flash,Pan
The Flash,Piccolo
The Flash,Son Goku
The Flash,Syn Shenron
The Flash,Trunks
The Flash,Uub
The Flash,Android 16
The Flash,Android 17
The Flash,Android 18
The Flash,Android 19
The Flash,Aniraza
The Flash,Arak
The Flash,Bandages The Mummy
The Flash,Bardock (Super Saiyan)
The Flash,Bardock
The Flash,Basil
The Flash,Beerus
The Flash,Belmod
The Flash,Bergamo
The Flash,Biarra
The Flash,Bido
The Flash,Bikal
The Flash,Black Frieza
The Flash,Bojack
The Flash,Borareta
The Flash,Botamo
The Flash,Broly (Z)
The Flash,Broly (Ikari)
The Flash,Broly (Super Saiyan)
The Flash,Broly
The Flash,Bujin
The Flash,Burter
The Flash,Buu (Good)
The Flash,Buu (Grand Supreme Kai)
The Flash,Buuhan
The Flash,Buutenks
The Flash,Cabba (Super Saiyan)
The Flash,Cabba (Super Saiyan 2)
The Flash,Cabba
The Flash,Dende
The Flash,Dercori
The Flash,Dodoria
The Flash,Dore
The Flash,Dr Gero
The Flash,Dyspo (Super Maximum Light Speed)
The Flash,Dyspo
The Flash,Frieza
The Flash,Frieza (First Form)
The Flash,Frieza (Second Form)
The Flash,Frieza (Third Form)
The Flash,Fusion Zamasu
The Flash,Future Trunks (Cell Saga)
The Flash,Gogeta
The Flash,Gogeta (Super Saiyan)
The Flash,Gogeta (Super Saiyan Blue)
The Flash,Gohan (Beast)
The Flash,Gohan (Potential Unleashed)
The Flash,Gohan (SS2)
The Flash,Gohan (Super Saiyan)
The Flash,Gohan
The Flash,Goku (Super Saiyan Blue Kaioken)
The Flash,Goku
The Flash,Goku (Mastered Ultra Instinct)
The Flash,Goku (Saiyan Saga)
The Flash,Goku (True Ultra Instinct)
The Flash,Goku (Super Saiyan God)
The Flash,Goku (Super Saiyan 2)
The Flash,Goku (Ultra Instinct)
The Flash,Goku (Super Saiyan Blue)
The Flash,Goku (Super Saiyan 3)
The Flash,Goku Black (Super Saiyan Rosé)
The Flash,Goku Black
The Flash,Goten (Super Saiyan)
The Flash,Goten
The Flash,Gotenks (Super Saiyan 3)
The Flash,Gotenks (SS2)
The Flash,Grand Priest
The Flash,Jaco
The Flash,Kami
The Flash,Kid Buu
The Flash,Kid Gohan
The Flash,Kid Goku
The Flash,King Vegeta
The Flash,Krillin
The Flash,Vegeta (Ascended Super Saiyan)
The Flash,Vegeta (Unbound Ultra Ego)
The Flash,Vegeta (Super Saiyan Blue Evolved)
The Flash,Vegeta (Super Saiyan 2)
The Flash,Vegeta (Super Saiyan Blue)
The Flash,Vegeta (Hakai Energy)
The Flash,Vegeta (Super Saiyan)
The Flash,Vegeta
The Flash,Vegeta (Super Saiyan God)
The Flash,Vegito
The Flash,Vegito (Super Saiyan)
Vigilante,White Dragon
Vigilante,Wonder Woman (Armor of Asteria)
Vigilante,Wrath
Vigilante,Zeus
Vigilante,A-Train
Vigilante,Billy Butcher
Vigilante,Billy Butcher (V24)
Vigilante,Billy Butchter (tumor)
Vigilante,Black Noir (replacement)
Vigilante,Black Noir
Vigilante,Cate Dunlap
Vigilante,Crimson Countess
Vigilante,Firecracker
Vigilante,Golden Boy
Vigilante,Homelander
Vigilante,Hughie Campbell (V24)
Vigilante,Lamplighter
Vigilante,Little Cricket
Vigilante,Marie Moreau
Vigilante,Mesmer
Vigilante,Mother's Milk
Vigilante,Naqib
Vigilante,Queen Maeve
Vigilante,Ryan Butcher
Vigilante,Sam Riordan
Vigilante,Shockwave
Vigilante,Sister Sage
Vigilante,Soldier Boy
Vigilante,Splinter
Vigilante,Starlight
Vigilante,Stormfront
Vigilante,Supe Terrorist
Vigilante,Tek Knight
Vigilante,The Deep
Vigilante,The Female
Vigilante,Translucent
Vigilante,Victoria Neuman
Vigilante,Webweaver
Vigilante,Zoe Neuman
Vigilante,Agatha Harkness
Vigilante,Abomination
Vigilante,Ajak
Vigilante,Ancient One (time stone)
Vigilante,Ancient One
Vigilante,Ant-Man
Vigilante,Arishem The Judge
Vigilante,Ayo
Vigilante,Baby Groot
Vigilante,Baron Mordo
Vigilante,Baron Zemo
Vigilante,Black Bolt (Earth 838)
Vigilante,Black Bolt
Vigilante,Black Panther
Vigilante,Black Panther
Vigilante,Black Widow
Vigilante,Black Widow
Vigilante,Bucky Barnes
Vigilante,Bullseye
Vigilante,Captain America
Vigilante,Captain America (Worthy)
Vigilante,Captain Carter (Earth 838)
Vigilante,Captain Marvel
Vigilante,Chitauri Footsoldier
Vigilante,Corvus Glaive
Vigilante,Crossbones
Vigilante,Cull Obsidian
Vigilante,Dar-Benn
Vigilante,Daredevil
Vigilante,Deathlok
Vigilante,Destroyer
Vigilante,Doctor Strange
Vigilante,Dormammu
Vigilante,Drax The Destroyer
Vigilante,Ebony Maw
Vigilante,Echo
Vigilante,Ego
Vigilante,Elektra
Vigilante,Eternity
Vigilante,Falcon
Vigilante,Fandral
Vigilante,Fat Thor
Vigilante,Fenris
Vigilante,Frigga
Vigilante,G'iah
Vigilante,Gamora
Vigilante,Gargantos
Vigilante,Ghost
Vigilante,Ghost Rider
Vigilante,Giant-Man
Vigilante,Gilgamesh
Vigilante,Gorr The God Butcher
Vigilante,Gravik
Vigilante,Groot
Vigilante,Hawkeye
Vigilante,Hawkeye
Vigilante,Heimdall
Vigilante,Hela
Vigilante,High Evolutionary
Vigilante,Hulk (Stark Gauntlet)
Vigilante,Hulk
Vigilante,Ikaris
Vigilante,Iron Fist
Vigilante,Iron Man
Vigilante,Iron Man (Mk 1)
Vigilante,Iron Man (Stark Gauntlet)
Vigilante,Iron Man (Hulkbuster)
Vigilante,Iron Monger
Vigilante,Iron Spider
Vigilante,Ironheart
Vigilante,Jemiah The Analyzer
Vigilante,Jessica Jones
Vigilante,Kaecilius
Vigilante,Kang the Conqueror
Vigilante,Killian
Vigilante,Killmonger
Vigilante,Kingo
Vigilante,Kingpin
Vigilante,Korath The Pursuer
Vigilante,Korg
Vigilante,Kro
Vigilante,Kurse
Vigilante,Kid Loki
Vigilante,Lady Loki
Vigilante,Leo Fitz
Vigilante,Leviathan
Vigilante,Loki
Vigilante,Loki (Mind Stone)
Vigilante,Loki (Keeper Of The Multiverse)
Vigilante,Loki (Variant L1130)
Vigilante,Loki (King of Asgard)
Vigilante,Luke Cage
Vigilante,M'baku
Vigilante,Makkari
Vigilante,Malekith (Reality Stone)
Vigilante,Malekith
Vigilante,Mandarin
Vigilante,Mantis
Vigilante,Mighty Thor
Vigilante,MODOK
Vigilante,Moon Knight
Vigilante,Mr. Fantastic (Earth 838)
Vigilante,Mr. Knight
Vigilante,Ms. America
Vigilante,Ms. Marvel
Vigilante,Mysterio
Vigilante,Namor
Vigilante,Nebula
Vigilante,Nick Fury
Vigilante,Nomad
Vigilante,Odin
Vigilante,Okoye
Vigilante,Outrider
Vigilante,Pepper Potts (Extremis)
Vigilante,Phastos
Vigilante,Photon
Vigilante,Proxima Midnight
Vigilante,Quake
Vigilante,Quicksilver
Vigilante,Red Guardian
Vigilante,Red Skull (Stonekeeper)
Vigilante,Red Skull
Vigilante,Rescue
Vigilante,Rocket Raccoon
Vigilante,Ronan The Accuser (Power Stone)
Vigilante,Ronan The Accuser
Vigilante,Ronin
Vigilante,Scarlet Witch
Vigilante,Sersi (uni-mind)
Vigilante,Sersi
Vigilante,Shang-Chi
Vigilante,She-Hulk
Vigilante,Shuri
Vigilante,Sif
Vigilante,Sinister Strange
Vigilante,Smart Hulk
Vigilante,Spectral Vision
Vigilante,Spider-Man
Vigilante,Star-Lord (Celestial Power)
Vigilante,Star-Lord
Vigilante,Stature
Vigilante,Surtur
Vigilante,Swole Groot
Vigilante,Talos The Untamed
Vigilante,Taskmaster
Vigilante,Teenage Groot
Vigilante,Thanos
Vigilante,Thanos (Infinity Gauntlet)
Vigilante,The Collector
Vigilante,The Executioner
Vigilante,The Grandmaster
Vigilante,The Great Protector
Vigilante,The Punisher
Vigilante,Thena
Vigilante,Thor (Pre-Ragnarok)
Vigilante,Thor (Awakened)
Vigilante,Thor
Vigilante,Ultron
Vigilante,Unworthy Thor
Vigilante,Valkyrie
Vigilante,Vision
Vigilante,Volstagg
Vigilante,Vulture
Vigilante,Wanda Maximoff (Pre-WandaVision)
Vigilante,War Machine
Vigilante,Warlock
Vigilante,Wasp
Vigilante,Whiplash
Vigilante,Whiplash (Mark II)
Vigilante,White Wolf
Vigilante,Winter Soldier
Vigilante,Wolverine
Vigilante,Wong
Vigilante,YellowJacket
Vigilante,Yondu
Vigilante,Zeus
Vigilante,Gogeta (Super Saiyan 4)
Vigilante,Goku (Super Saiyan 3)
Vigilante,Goku (Super Saiyan 2)
Vigilante,Goku (Super Saiyan 4)
Vigilante,Goku Jr.
Vigilante,Goten
Vigilante,Pan
Vigilante,Piccolo
Vigilante,Son Goku
Vigilante,Syn Shenron
Vigilante,Trunks
Vigilante,Uub
Vigilante,Android 16
Vigilante,Android 17
Vigilante,Android 18
Vigilante,Android 19
Vigilante,Aniraza
Vigilante,Arak
Vigilante,Bandages The Mummy
Vigilante,Bardock (Super Saiyan)
Vigilante,Bardock
Vigilante,Basil
Vigilante,Beerus
Vigilante,Belmod
Vigilante,Bergamo
Vigilante,Biarra
Vigilante,Bido
Vigilante,Bikal
Vigilante,Black Frieza
Vigilante,Bojack
Vigilante,Borareta
Vigilante,Botamo
Vigilante,Broly (Z)
Vigilante,Broly (Ikari)
Vigilante,Broly (Super Saiyan)
Vigilante,Broly
Vigilante,Bujin
Vigilante,Burter
Vigilante,Buu (Good)
Vigilante,Buu (Grand Supreme Kai)
Vigilante,Buuhan
Vigilante,Buutenks
Vigilante,Cabba (Super Saiyan)
Vigilante,Cabba (Super Saiyan 2)
Vigilante,Cabba
Vigilante,Dende
Vigilante,Dercori
Vigilante,Dodoria
Vigilante,Dore
Vigilante,Dr Gero
Vigilante,Dyspo (Super Maximum Light Speed)
Vigilante,Dyspo
Vigilante,Frieza
Vigilante,Frieza (First Form)
Vigilante,Frieza (Second Form)
Vigilante,Frieza (Third Form)
Vigilante,Fusion Zamasu
Vigilante,Future Trunks (Cell Saga)
Vigilante,Gogeta
Vigilante,Gogeta (Super Saiyan)
Vigilante,Gogeta (Super Saiyan Blue)
Vigilante,Gohan (Beast)
Vigilante,Gohan (Potential Unleashed)
Vigilante,Gohan (SS2)
Vigilante,Gohan (Super Saiyan)
Vigilante,Gohan
Vigilante,Goku (Super Saiyan Blue Kaioken)
Vigilante,Goku
Vigilante,Goku (Mastered Ultra Instinct)
Vigilante,Goku (Saiyan Saga)
Vigilante,Goku (True Ultra Instinct)
Vigilante,Goku (Super Saiyan God)
Vigilante,Goku (Super Saiyan 2)
Vigilante,Goku (Ultra Instinct)
Vigilante,Goku (Super Saiyan Blue)
Vigilante,Goku (Super Saiyan 3)
Vigilante,Goku Black (Super Saiyan Rosé)
Vigilante,Goku Black
Vigilante,Goten (Super Saiyan)
Vigilante,Goten
Vigilante,Gotenks (Super Saiyan 3)
Vigilante,Gotenks (SS2)
Vigilante,Grand Priest
Vigilante,Jaco
Vigilante,Kami
Vigilante,Kid Buu
Vigilante,Kid Gohan
Vigilante,Kid Goku
Vigilante,King Vegeta
Vigilante,Krillin
Vigilante,Vegeta (Ascended Super Saiyan)
Vigilante,Vegeta (Unbound Ultra Ego)
Vigilante,Vegeta (Super Saiyan Blue Evolved)
Vigilante,Vegeta (Super Saiyan 2)
Vigilante,Vegeta (Super Saiyan Blue)
Vigilante,Vegeta (Hakai Energy)
Vigilante,Vegeta (Super Saiyan)
Vigilante,Vegeta
Vigilante,Vegeta (Super Saiyan God)
Vigilante,Vegito
Vigilante,Vegito (Super Saiyan)
White Dragon,Wonder Woman (Armor of Asteria)
White Dragon,Wrath
White Dragon,Zeus
White Dragon,A-Train
White Dragon,Billy Butcher
White Dragon,Billy Butcher (V24)
White Dragon,Billy Butchter (tumor)
White Dragon,Black Noir (replacement)
White Dragon,Black Noir
White Dragon,Cate Dunlap
White Dragon,Crimson Countess
White Dragon,Firecracker
White Dragon,Golden Boy
White Dragon,Homelander
White Dragon,Hughie Campbell (V24)
White Dragon,Lamplighter
White Dragon,Little Cricket
White Dragon,Marie Moreau
White Dragon,Mesmer
White Dragon,Mother's Milk
White Dragon,Naqib
White Dragon,Queen Maeve
White Dragon,Ryan Butcher
White Dragon,Sam Riordan
White Dragon,Shockwave
White Dragon,Sister Sage
White Dragon,Soldier Boy
White Dragon,Splinter
White Dragon,Starlight
White Dragon,Stormfront
White Dragon,Supe Terrorist
White Dragon,Tek Knight
White Dragon,The Deep
White Dragon,The Female
White Dragon,Translucent
White Dragon,Victoria Neuman
White Dragon,Webweaver
White Dragon,Zoe Neuman
White Dragon,Agatha Harkness
White Dragon,Abomination
White Dragon,Ajak
White Dragon,Ancient One (time stone)
White Dragon,Ancient One
White Dragon,Ant-Man
White Dragon,Arishem The Judge
White Dragon,Ayo
White Dragon,Baby Groot
White Dragon,Baron Mordo
White Dragon,Baron Zemo
