Heroe 1,Heroe 2,Resultado_Comics,Resultado_Peliculas,Resultado_Combinado
Captain Carter (Earth-838),The Great Protector,1,2,1
She-Hulk,Cassandra Cain,1,2,1
Red Skull (Stonekeeper),Doctor Strange,2,1,2
Hulk (Stark Gauntlet),Enchantress,2,1,2
Stature,The Great Protector,2,1,2
The Collector,Karathen,2,1,2
Ocean Master,Yellowjacket,1,2,1
Makkari,Jemiah the Analyzer,2,1,2
Parademon,White Dragon,2,1,2
Philippus,Surtur,2,1,2
Vulture,MBaku,2,1,2
Thor (Pre-Ragnarok),Green Lantern,1,2,1
Bloodsport,Stature,2,1,2
Killmonger,Loki (Variant L1130),1,2,1
Ms. Marvel,Batman,1,2,1
Loki (Variant L1130),Thanos (Infinity Gauntlet),1,2,1
Jemiah the Analyzer,Atom Smasher,2,1,2
Thanos (Infinity Gauntlet),Cassandra Cain,1,2,1
Groot,Rocket Raccoon,1,2,1
Karathen,Thor,2,1,2
Hulk,MODOK,2,1,2
Joker,Ms. America,2,1,2
Superman,Baron Zemo,1,2,1
Valkyrie,Atom Smasher,1,2,1
Bucky Barnes,Huntress,2,1,2
Elektra,Loki (Variant L1130),1,2,1
Groot,Loki (Keeper of the Multiverse),2,1,2
Makkari,Hulk (Stark Gauntlet),1,2,1
Ocean Master,Moon Knight,1,2,1
Nebula,Valkyrie,1,2,1
Vision,Polka-Dot Man,2,1,2
Vision,Ironheart,2,1,2
Leo Fitz,Wolverine,1,2,1
Ajak,Moon Knight,1,2,1
Cyclone,Black Widow (Variant),1,2,1
Wong,Stature,2,1,2
Gluttony,Killer Croc,1,2,1
Ajak,Iron Spider,1,2,1
Falcon,Iron Spider,2,1,2
Black Manta,Iron Spider,2,1,2
Cheetah,Loki,1,2,1
Ares,Black Mask,1,2,1
Vigilante,Thanos,2,1,2
El Diablo,Kro,2,1,2
Atom Smasher,Outrider,2,1,2
T.D.K.,Thanos,2,1,2
Fat Thor,Ant-Man,1,2,1
Mysterio,Hela,1,2,1
Kingo,Dormammu,1,2,1
Iron Monger,Shazam,2,1,2
Ocean Master,Nuidis Vulko,2,1,2
Iron Man (Hulkbuster),Captain America (Worthy),1,2,1
Kid Loki,Darkseid,1,2,1
The Grandmaster,Doomsday,1,2,1
Valkyrie,Teenage Groot,1,2,1
Loki (Keeper of the Multiverse),Photon,2,1,2
She-Hulk,Wrath,2,1,2
Lust,Cassandra Cain,1,2,1
Gargantos,Ares,1,2,1
Baron Zemo,Leo Fitz,1,2,1
Spider-Man,Captain Marvel,2,1,2
Ayo,Okoye,1,2,1
Star-Lord,Red Skull,1,2,1
Ancient One (Time Stone),Envy,1,2,1
Black Canary,Iron Spider,1,2,1
Red Guardian,Photon,1,2,1
Unworthy Thor,Ironheart,2,1,2
Black Mask,Dormammu,1,2,1
Lex Luthor,Mr. Fantastic (Earth-838),2,1,2
The Punisher,Red Guardian,2,1,2
Ronin,Makkari,2,1,2
Cull Obsidian,Thor (Awakened),2,1,2
Iron Man (MK 1),Ancient One (Time Stone),2,1,2
Aquaman,Kro,2,1,2
Ocean Master,Enchantress,1,2,1
Taskmaster,She-Hulk,2,1,2
Incubus,Corvus Glaive,2,1,2
Captain America,Nuidis Vulko,1,2,1
Thanos (Infinity Gauntlet),Iron Man,1,2,1
Malekith (Reality Stone),Parademon,2,1,2
The Grandmaster,Echo,2,1,2
T.D.K.,Okoye,1,2,1
The Collector,Rick Flag,2,1,2
Whiplash,Fandral,1,2,1
Ares,Hespera,2,1,2
Black Widow (Variant),Kaecilius,1,2,1
Gilgamesh,Killian,1,2,1
Hawkeye,The Grandmaster,1,2,1
Gluttony,Kang the Conqueror,1,2,1
Cassandra Cain,Valkyrie,1,2,1
Taskmaster,Captain Carter (Earth-838),2,1,2
Ancient One,Abomination,2,1,2
Queen Atlanna,Ms. Marvel,1,2,1
Hawkman,Rocket Raccoon,2,1,2
Crossbones,Captain America,1,2,1
Nam-Ek,Ghost,2,1,2
Pepper Potts (Extremis),Kid Loki,2,1,2
Mysterio,Eternity,2,1,2
Korg,Gilgamesh,2,1,2
Loki (King of Asgard),Doctor Strange,2,1,2
Zeus,Captain Carter (Earth-838),1,2,1
Hespera,Red Skull,1,2,1
Thor (Pre-Ragnarok),Vision,1,2,1
Frigga,Philippus,2,1,2
Iron Man (MK 1),Kurse,2,1,2
Mysterio,Black Panther,1,2,1
Swole Groot,The Collector,1,2,1
Karathen,Shang-Chi,2,1,2
Sol Soria,Doctor Sivana,2,1,2
Bloodsport,Black Manta,1,2,1
Thena,Giah,2,1,2
Peacemaker,Spider-Man,2,1,2
Wanda Maximoff (Pre-Wandavision),Arishem the Judge,1,2,1
Talos the Untamed,Fenris,2,1,2
Eternity,Kaecilius,1,2,1
Korath the Pursuer,Captain Carter (Earth-838),2,1,2
Leo Fitz,Jessica Jones,2,1,2
Surtur,Ratcatcher,2,1,2
Red Skull (Stonekeeper),Scarlet Witch,2,1,2
Smart Hulk,Unworthy Thor,2,1,2
Mighty Thor,Kid Loki,1,2,1
Leo Fitz,Gamora,2,1,2
Red Skull (Stonekeeper),Ronan the Accuser,2,1,2
White Wolf,Peacemaker,1,2,1
Heimdall,Red Skull,2,1,2
Red Guardian,Ego,2,1,2
Wasp,Starro,1,2,1
Black Canary,Mandarin,1,2,1
Savant,Envy,1,2,1
Spectral Vision,Harley Quinn,2,1,2
Quicksilver,Malekith,2,1,2
Doctor Strange,Mighty Thor,2,1,2
Teenage Groot,Black Panther,1,2,1
Ares,Quicksilver,1,2,1
Dar-Benn,Photon,1,2,1
Captain America,Iron Man,2,1,0
Black Manta,Bucky Barnes,1,2,1
Atom Smasher,Baron Mordo,1,2,1
Red Skull,Ironheart,1,2,1
Echo,Giant-Man,1,2,1
Korath the Pursuer,Hawkeye,1,2,1
Korg,Thor (Awakened),1,2,1
Thor,El Diablo,2,1,2
Nomad,Hulk (Stark Gauntlet),1,2,1
Starro,Penthesileia,1,2,1
Ajak,The Punisher,1,2,1
Outrider,Sif,2,1,2
Sersi,Star-Lord,1,2,1
She-Hulk,Iron Man (MK 1),2,1,2
Atom Smasher,Lex Luthor,2,1,2
Pepper Potts (Extremis),Parademon,1,2,1
Huntress,Ares,1,2,1
Quake,Yondu,1,2,1
Killer Croc,Giant-Man,1,2,1
Thor,Penthesileia,2,1,2
Iron Man (Hulkbuster),Mantis,2,1,2
Lust,Ms. Marvel,2,1,2
Abomination,Jor-El,1,2,1
Red Guardian,Ikaris,1,2,1
Doomsday,Gluttony,2,1,2
Dar-Benn,Unworthy Thor,2,1,2
Nomad,Captain Marvel,2,1,2
Mysterio,Moon Knight,2,1,2
Stature,Red Guardian,2,1,2
Atom Smasher,Hulk,2,1,2
King Shark,Black Manta,1,2,1
Bucky Barnes,Hespera,1,2,1
Philippus,Star-Lord,2,1,2
Incubus,Gargantos,2,1,2
Arishem the Judge,Deathlok,2,1,2
Envy,Dark Flash,1,2,1
Fandral,Deadshot,2,1,2
Kingpin,Black Adam,1,2,1
Superman,Ikaris,2,1,2
Batman,Quicksilver,1,2,1
Fat Thor,Loki (Mind Stone),1,2,1
Warlock,Leviathan,2,1,2
Dark Flash,Ultron,1,2,1
Ant-Man,Black Bolt (Earth-838),1,2,1
The Punisher,Wrath,1,2,1
Mighty Thor,Phastos,1,2,1
Polka-Dot Man,Parademon,1,2,1
Ratcatcher,Scarlet Witch,2,1,2
Ares,Ayo,2,1,2
Thor (Awakened),Dar-Benn,1,2,1
Atom Smasher,Bloodsport,1,2,1
Sersi (Uni-Mind),Proxima Midnight,1,2,1
Ebony Maw,Nuidis Vulko,2,1,2
Hawkman,Mr. Knight,1,2,1
Fat Thor,Hulk (Stark Gauntlet),1,2,1
Freddy Freeman,Cull Obsidian,2,1,2
Kingo,Kang the Conqueror,2,1,2
Ocean Master,Nick Fury,1,2,1
Sabbac,Gravik,1,2,1
Winter Soldier,Unworthy Thor,2,1,2
Ant-Man,Giah,2,1,2
Ancient One (Time Stone),Mera,2,1,2
Black Manta,Ronan the Accuser,1,2,1
The Flash,Ms. America,2,1,2
The Grandmaster,Whiplash,1,2,1
Killer Croc,Sersi (Uni-Mind),2,1,2
Killer Croc,Abomination,1,2,1
Judomaster,Wong,2,1,2
Malekith,Dar-Benn,1,2,1
Killmonger,Giant-Man,1,2,1
The Great Protector,Harley Quinn,1,2,1
Echo,Odin,2,1,2
Giah,Judomaster,1,2,1
Surtur,Enchantress,2,1,2
Kro,Gorr the God Butcher,2,1,2
Yellowjacket,Sersi,2,1,2
Black Mask,Crossbones,2,1,2
Star-Lord,Spectral Vision,2,1,2
Mysterio,Whiplash Mark II,1,2,1
Red Skull (Stonekeeper),Nick Fury,1,2,1
Hulk,Penthesileia,2,1,2
Red Skull,Mr. Knight,2,1,2
MODOK,Red Skull (Stonekeeper),2,1,2
King Shark,Iron Man (Hulkbuster),2,1,2
Leo Fitz,High Evolutionary,1,2,1
Daredevil,Photon,2,1,2
Okoye,Odin,2,1,2
Superman,Doomsday,1,2,1
Korg,Taskmaster,2,1,2
Vision,Proxima Midnight,1,2,1
Valkyrie,Ebony Maw,2,1,2
Phastos,Baron Mordo,2,1,2
Black Mask,Thanos,1,2,1
Agatha Harkness,Queen Hippolyta,2,1,2
Harley Quinn,Shuri,2,1,2
Doctor Fate,Wasp,2,1,2
Giant-Man,King Shark,1,2,1
Mr. Knight,Loki (Keeper of the Multiverse),1,2,1
Ancient One (Time Stone),Black Canary,2,1,2
Nomad,Outrider,2,1,2
Hawkeye,Luke Cage,2,1,2
Mantis,Agatha Harkness,2,1,2
Baby Groot,Whiplash,1,2,1
Captain Carter (Earth-838),Mr. Knight,2,1,2
Ant-Man,Huntress,2,1,2
Phastos,Photon,2,1,2
Iron Man (MK 1),Aquaman,2,1,2
Teenage Groot,Whiplash Mark II,1,2,1
Lex Luthor,King Shark,2,1,2
Cassandra Cain,Black Mask,2,1,2
Loki (Keeper of the Multiverse),General Zod,1,2,1
Malekith,Black Canary,2,1,2
Penthesileia,Okoye,1,2,1
Ms. America,General Zod,2,1,2
Quicksilver,Loki (King of Asgard),1,2,1
Phastos,Nomad,2,1,2
Captain Boomerang,Quake,2,1,2
Iron Man (Hulkbuster),Sol Soria,1,2,1
Hawkeye,Giant-Man,2,1,2
Baby Groot,Drax the Destroyer,2,1,2
Vulture,Wong,1,2,1
Arishem the Judge,Captain Marvel,1,2,1
Huntress,Iron Man (MK 1),1,2,1
Pepper Potts (Extremis),Baby Groot,2,1,2
Kid Loki,Black Bolt (Earth-838),2,1,2
Thanos (Infinity Gauntlet),Makkari,1,2,1
Enchantress,Queen Atlanna,1,2,1
Loki (Keeper of the Multiverse),Mr. Knight,1,2,1
High Evolutionary,The Grandmaster,1,2,1
Ms. Marvel,Captain America,2,1,2
Loki (Variant L1130),Chitauri Footsoldier,1,2,1
Wolverine,Kang the Conqueror,2,1,2
Giant-Man,Thor,2,1,2
Surtur,Gorr the God Butcher,1,2,1
Sinister Strange,Outrider,1,2,1
Vulture,Lust,1,2,1
Sol Soria,Red Skull,2,1,2
Giant-Man,Vulture,1,2,1
Sol Soria,Ghost,2,1,2
Black Widow (Variant),Echo,2,1,2
Captain Boomerang,Swole Groot,1,2,1
Ronan the Accuser (Power Stone),Groot,2,1,2
Killmonger,Ronan the Accuser (Power Stone),2,1,2
Spectral Vision,Nomad,2,1,2
Wrath,Ironheart,2,1,2
Hawkeye,Proxima Midnight,1,2,1
Ant-Man,Ms. Marvel,2,1,2
Abomination,Cheetah,2,1,2
Red Skull (Stonekeeper),Ratcatcher,1,2,1
Corvus Glaive,She-Hulk,2,1,2
Sabbac,Freddy Freeman,2,1,2
Deadshot,Hawkeye,2,1,2
Ironheart,Atom Smasher,1,2,1
Iron Man (Hulkbuster),Sabbac,1,2,1
Ajak,Korath the Pursuer,1,2,1
Gorr the God Butcher,Whiplash,2,1,2
Katana,Cheetah,1,2,1
Ronan the Accuser,Abomination,1,2,1
Spider-Man,Loki (King of Asgard),2,1,2
War Machine,Steppenwolf,2,1,2
Star-Lord,Killer Croc,1,2,1
Killmonger,Mighty Thor,2,1,2
Shang-Chi,Gamora,2,1,2
Agatha Harkness,Mantis,2,1,2
Ancient One,MBaku,1,2,1
Proxima Midnight,Sersi,2,1,2
Phastos,Winter Soldier,2,1,2
Rick Flag,Photon,1,2,1
Surtur,Judomaster,2,1,2
Ancient One (Time Stone),Cull Obsidian,2,1,2
Black Adam,Penthesileia,1,2,1
Kang the Conqueror,Queen Hippolyta,1,2,1
Black Widow,Sersi (Uni-Mind),2,1,2
Leviathan,Shazam,2,1,2
Kingpin,War Machine,1,2,1
Mister Zsasz,Batman,2,1,2
Iron Man (Stark Gauntlet),Ronan the Accuser (Power Stone),2,1,2
Mr. Fantastic (Earth-838),Jemiah the Analyzer,2,1,2
She-Hulk,Whiplash Mark II,1,2,1
Wasp,Superman,2,1,2
Thor (Awakened),The Punisher,2,1,2
Ghost,Thena,1,2,1
Chitauri Footsoldier,Daredevil,2,1,2
High Evolutionary,Starro,2,1,2
Lady Loki,Black Adam,1,2,1
Fandral,Crossbones,2,1,2
Killer Croc,Black Panther (Variant),2,1,2
Hulk (Stark Gauntlet),Captain America (Worthy),2,1,2
Ms. America,Ikaris,1,2,1
Yondu,Polka-Dot Man,1,2,1
Wrath,Doctor Fate,1,2,1
Quake,Whiplash Mark II,1,2,1
Iron Man (MK 1),Daredevil,1,2,1
Ebony Maw,Quake,2,1,2
Envy,Red Skull (Stonekeeper),2,1,2
Star-Lord,Daredevil,2,1,2
Outrider,Lex Luthor,1,2,1
Cyclone,Unworthy Thor,1,2,1
Doomsday,Captain America (Worthy),1,2,1
Queen Hippolyta,Kingpin,1,2,1
Mighty Thor,Iron Monger,2,1,2
Batman,Iron Man,2,1,2
Sersi (Uni-Mind),Nick Fury,1,2,1
Sif,Shuri,2,1,2
Doctor Sivana,Elektra,1,2,1
Proxima Midnight,Baby Groot,1,2,1
War Machine,Queen Atlanna,2,1,2
Shuri,Jemiah the Analyzer,1,2,1
Luke Cage,Warlock,2,1,2
Korath the Pursuer,Gilgamesh,1,2,1
MODOK,Ronan the Accuser (Power Stone),2,1,2
Doctor Strange,Fat Thor,1,2,1
Lex Luthor,Heimdall,1,2,1
Chitauri Footsoldier,Wrath,2,1,2
Yellowjacket,Huntress,1,2,1
Yondu,Gravik,2,1,2
Katana,MODOK,2,1,2
Sol Soria,Spectral Vision,1,2,1
Mantis,The Collector,2,1,2
Giant-Man,White Dragon,2,1,2
Drax the Destroyer,Leo Fitz,2,1,2
Unworthy Thor,Baron Mordo,2,1,2
Sersi,Shang-Chi,2,1,2
Yellowjacket,Red Skull,2,1,2
Karathen,Loki,2,1,2
Falcon,Ultron,1,2,1
Ghost Rider,Jessica Jones,2,1,2
Abomination,Katana,2,1,2
Vulture,Judomaster,2,1,2
Red Guardian,Quake,1,2,1
Mantis,Rescue,2,1,2
Hawkeye,Black Bolt,1,2,1
Fenris,Gravik,1,2,1
Vision,MBaku,1,2,1
Outrider,Fat Thor,2,1,2
Loki (Keeper of the Multiverse),Loki (King of Asgard),1,2,1
Atom Smasher,Lady Loki,1,2,1
Surtur,Iron Spider,2,1,2
Iron Man,Captain America (Worthy),2,1,2
Darkseid,Kurse,2,1,2
Ms. America,Black Adam,1,2,1
Ms. Marvel,Supergirl,2,1,2
Kingo,Cyclone,1,2,1
Jessica Jones,Fandral,2,1,2
Sol Soria,Dormammu,1,2,1
Ironheart,Mera,2,1,2
Daredevil,Corvus Glaive,1,2,1
Queen Hippolyta,Swole Groot,2,1,2
Lex Luthor,Leo Fitz,1,2,1
Captain Marvel,Wasp,2,1,2
Thor,Captain America (Worthy),1,2,1
Loki,Karathen,2,1,2
Green Lantern,Loki (King of Asgard),1,2,1
Darkseid,Nam-Ek,1,2,1
Iron Man,Killmonger,1,2,1
Peacemaker,Black Adam,2,1,2
Surtur,Red Guardian,1,2,1
Mera,Luke Cage,2,1,2
Killian,Abomination,2,1,2
Valkyrie,Photon,1,2,1
Spider-Man,Jor-El,1,2,1
Karathen,Enchantress,2,1,2
Sol Soria,Kro,1,2,1
Penthesileia,Darkseid,2,1,2
Deadshot,Mandarin,2,1,2
El Diablo,Kingo,2,1,2
Ultron,Arishem the Judge,2,1,2
Supergirl,MBaku,2,1,2
Bucky Barnes,Envy,1,2,1
Loki,Black Panther (Variant),1,2,1
The Executioner,Crossbones,1,2,1
Mister Zsasz,Bullseye,2,1,2
White Wolf,Lust,2,1,2
Scarlet Witch,Mr. Knight,2,1,2
Captain America (Worthy),Killmonger,2,1,2
Echo,Doomsday,2,1,2
Iron Spider,Ultron,2,1,2
Namor,Bloodsport,2,1,2
Thor (Pre-Ragnarok),The Collector,1,2,1
Groot,Loki (Variant L1130),1,2,1
El Diablo,Starro,1,2,1
Fat Thor,Penthesileia,1,2,1
Echo,The Flash,2,1,2
Winter Soldier,Black Bolt (Earth-838),1,2,1
Thor (Pre-Ragnarok),Ghost,2,1,2
Nuidis Vulko,Unworthy Thor,2,1,2
Mantis,The Executioner,1,2,1
Winter Soldier,Polka-Dot Man,1,2,1
Crossbones,Ratcatcher,2,1,2
Kro,Rick Flag,2,1,2
Yellowjacket,Deadshot,2,1,2
Freddy Freeman,Giant-Man,1,2,1
Ancient One (Time Stone),Baron Zemo,2,1,2
Mr. Knight,Captain America (Worthy),1,2,1
Hulk (Stark Gauntlet),Cyborg,1,2,1
Killmonger,Star-Lord,1,2,1
Warlock,Black Bolt,1,2,1
Doomsday,Falcon,2,1,2
Mera,Starro,2,1,2
Wong,Black Widow (Variant),2,1,2
Ajak,Giah,1,2,1
Fandral,Agatha Harkness,1,2,1
Killer Croc,Queen Atlanna,2,1,2
Rick Flag,Moon Knight,2,1,2
Luke Cage,Batman,2,1,2
Shazam,Lex Luthor,1,2,1
Iron Spider,Iron Fist,1,2,1
White Dragon,Jessica Jones,2,1,2
Destroyer,The Collector,1,2,1
Loki (King of Asgard),Lust,2,1,2
General Zod,Hawkman,1,2,1
Atom Smasher,Captain America (Worthy),2,1,2
Ayo,Iron Spider,2,1,2
Starro,Ratcatcher,2,1,2
Kaecilius,Doctor Sivana,2,1,2
Korath the Pursuer,High Evolutionary,1,2,1
Enchantress,Loki (Keeper of the Multiverse),1,2,1
Korath the Pursuer,Hespera,2,1,2
Black Mask,War Machine,2,1,2
Winter Soldier,Queen Atlanna,2,1,2
Ajak,Mantis,2,1,2
Iron Spider,Bullseye,1,2,1
Lex Luthor,Bucky Barnes,2,1,2
Lady Loki,Ronan the Accuser,1,2,1
Doctor Fate,Sif,2,1,2
Iron Man (MK 1),Kingo,1,2,1
Judomaster,Black Canary,1,2,1
Okoye,Dormammu,2,1,2
Deathlok,Ronan the Accuser (Power Stone),2,1,2
The Collector,Kaecilius,1,2,1
Wonder Woman,Doomsday,2,1,2
Ms. Marvel,Deathlok,2,1,2
Unworthy Thor,Luke Cage,2,1,2
Rocket Raccoon,Sinister Strange,2,1,2
White Wolf,Kingpin,2,1,2
Moon Knight,Pepper Potts (Extremis),2,1,2
Karathen,Shuri,2,1,2
Ant-Man,Ghost Rider,2,1,2
Doomsday,Vigilante,2,1,2
High Evolutionary,Dormammu,1,2,1
Dormammu,Zeus,2,1,2
Philippus,Loki (Keeper of the Multiverse),1,2,1
Sol Soria,Deadshot,2,1,2
Malekith,Polka-Dot Man,1,2,1
Supergirl,Captain Carter (Earth-838),1,2,1
Black Panther (Variant),Gamora,2,1,2
Jor-El,Arishem the Judge,2,1,2
Kurse,Mr. Knight,2,1,2
Hespera,Ronan the Accuser (Power Stone),2,1,2
Black Bolt (Earth-838),Batman,2,1,2
Hawkman,Photon,2,1,2
High Evolutionary,Queen Atlanna,1,2,1
Iron Monger,Captain Boomerang,2,1,2
Sabbac,Iron Man (Hulkbuster),1,2,1
Nebula,Nuidis Vulko,1,2,1
Wolverine,Giah,1,2,1
Fandral,Captain Marvel,1,2,1
Gilgamesh,Ms. Marvel,1,2,1
Captain Carter (Earth-838),Ancient One,2,1,2
Joker,Fandral,1,2,1
Lady Loki,T.D.K.,1,2,1
Cassandra Cain,Vision,2,1,2
Iron Man,Queen Hippolyta,1,2,1
Loki (King of Asgard),Gluttony,2,1,2
Queen Hippolyta,Fenris,2,1,2
Harley Quinn,Falcon,1,2,1
Captain Boomerang,Lust,2,1,2
Dar-Benn,Drax the Destroyer,1,2,1
Stature,Luke Cage,2,1,2
Thanos (Infinity Gauntlet),Heimdall,2,1,2
Kingo,Chitauri Footsoldier,2,1,2
Ultron,Doctor Fate,2,1,2
Shang-Chi,Eternity,1,2,1
Wonder Woman,Hawkeye,2,1,2
Ocean Master,Mandarin,1,2,1
Gorr the God Butcher,Iron Spider,2,1,2
Harley Quinn,Baron Mordo,1,2,1
Ultron,Envy,1,2,1
Loki (Keeper of the Multiverse),Red Skull (Stonekeeper),1,2,1
Iron Man (MK 1),Taskmaster,1,2,1
Ms. Marvel,Penthesileia,2,1,2
Corvus Glaive,Wanda Maximoff (Pre-Wandavision),1,2,1
Mighty Thor,Batman,1,2,1
Nuidis Vulko,Cheetah,2,1,2
Ajak,Doctor Strange,2,1,2
Malekith (Reality Stone),Nomad,2,1,2
Slipknot,Stature,2,1,2
Huntress,Red Guardian,2,1,2
Baby Groot,Wanda Maximoff (Pre-Wandavision),1,2,1
Killmonger,T.D.K.,1,2,1
Bullseye,Wong,2,1,2
Ajak,Ronan the Accuser,2,1,2
Black Adam,Giah,2,1,2
Wrath,Jessica Jones,2,1,2
Polka-Dot Man,Kro,2,1,2
Iron Man (Hulkbuster),Giant-Man,2,1,2
Atom Smasher,Ronan the Accuser,1,2,1
Black Panther,Captain America,1,2,1
Cassandra Cain,Superman,2,1,2
Savant,Hawkeye (Variant),1,2,1
Ghost Rider,Taskmaster,1,2,1
Ego,Ocean Master,1,2,1
Teenage Groot,Gravik,2,1,2
Giah,Wong,2,1,2
Quake,Scarlet Witch,1,2,1
Ms. Marvel,Thor (Pre-Ragnarok),1,2,1
Hulk (Stark Gauntlet),Elektra,1,2,1
Vulture,Iron Man (Hulkbuster),2,1,2
Sinister Strange,Iron Spider,1,2,1
Hawkeye (Variant),Yondu,1,2,1
Hawkeye,Leo Fitz,1,2,1
Polka-Dot Man,Joker,2,1,2
Lust,Arishem the Judge,2,1,2
Ronan the Accuser (Power Stone),Red Guardian,2,1,2
Doctor Strange,Supergirl,1,2,1
Dark Flash,Ms. America,1,2,1
Kid Loki,Dormammu,1,2,1
Mysterio,Penthesileia,1,2,1
Black Widow,Rocket Raccoon,1,2,1
Iron Man,Envy,1,2,1
Jor-El,Lust,1,2,1
Black Adam,Black Canary,2,1,2
Gluttony,Karathen,1,2,1
Red Skull,Leo Fitz,2,1,2
Black Widow (Variant),Black Bolt,1,2,1
Freddy Freeman,Enchantress,2,1,2
Odin,Proxima Midnight,1,2,1
Slipknot,Malekith (Reality Stone),2,1,2
Hawkeye (Variant),Thor (Awakened),1,2,1
Dark Flash,Bloodsport,1,2,1
Sinister Strange,White Dragon,1,2,1
Loki (Mind Stone),Ancient One,2,1,2
Loki (Mind Stone),Phastos,2,1,2
Frigga,Mister Zsasz,1,2,1
Gilgamesh,Red Skull (Stonekeeper),1,2,1
Iron Man,MODOK,1,2,1
Ironheart,Karathen,1,2,1
Hawkman,Captain America,2,1,2
Gilgamesh,Captain America,2,1,2
Yellowjacket,Okoye,2,1,2
Black Bolt,Queen Hippolyta,2,1,2
Corvus Glaive,Daredevil,1,2,1
Atom Smasher,Hela,1,2,1
Loki,Kang the Conqueror,2,1,2
Korath the Pursuer,Leo Fitz,1,2,1
Hawkman,Mister Zsasz,2,1,2
Loki,Destroyer,1,2,1
Ghost,White Dragon,2,1,2
Harley Quinn,Steppenwolf,2,1,2
Gorr the God Butcher,The Collector,2,1,2
Captain America (Worthy),Nuidis Vulko,2,1,2
Loki,Iron Man (MK 1),1,2,1
Malekith,MBaku,2,1,2
Teenage Groot,She-Hulk,1,2,1
Katana,Lust,2,1,2
Ironheart,Loki (Mind Stone),1,2,1
Starro,The Flash,2,1,2
Dormammu,Dar-Benn,2,1,2
Ronan the Accuser (Power Stone),Agatha Harkness,1,2,1
The Executioner,Makkari,1,2,1
Corvus Glaive,Cheetah,1,2,1
Smart Hulk,Supergirl,1,2,1
Karathen,Black Bolt,2,1,2
Mighty Thor,Teenage Groot,2,1,2
Aquaman,Teenage Groot,1,2,1
Winter Soldier,Faora,2,1,2
Killian,Cheetah,1,2,1
Outrider,Jor-El,2,1,2
Loki (Mind Stone),Black Manta,1,2,1
The Grandmaster,War Machine,2,1,2
Sinister Strange,Thor,1,2,1
Iron Monger,Ultron,1,2,1
Giah,Killian,1,2,1
King Nereus,Abomination,2,1,2
Captain America,Gargantos,2,1,2
Savant,Loki (Mind Stone),1,2,1
Rescue,Baron Mordo,2,1,2
Ajak,Daredevil,1,2,1
Wrath,The Grandmaster,1,2,1
Thor,Iron Monger,2,1,2
Hulk,Ant-Man,2,1,2
Peacemaker,Loki (King of Asgard),1,2,1
Pepper Potts (Extremis),Fat Thor,1,2,1
Rescue,Scarlet Witch,2,1,2
Vigilante,Chitauri Footsoldier,1,2,1
Mantis,Mister Zsasz,1,2,1
Odin,Fandral,1,2,1
Baron Zemo,Captain America,2,1,2
Iron Monger,Iron Spider,2,1,2
Deathlok,Thanos,2,1,2
Ironheart,Drax the Destroyer,1,2,1
Parademon,Destroyer,2,1,2
Sif,Mr. Knight,2,1,2
Black Bolt (Earth-838),Okoye,1,2,1
Loki (Keeper of the Multiverse),Heimdall,1,2,1
Kingpin,Mister Zsasz,1,2,1
Unworthy Thor,Iron Man (MK 1),1,2,1
Wanda Maximoff (Pre-Wandavision),Philippus,1,2,1
Drax the Destroyer,Savant,1,2,1
Agatha Harkness,Black Mask,1,2,1
Korath the Pursuer,Ego,1,2,1
Doomsday,Doctor Sivana,2,1,2
Spider-Man,Yondu,1,2,1
Cassandra Cain,Shang-Chi,2,1,2
Ego,Sif,2,1,2
Echo,Sol Soria,2,1,2
Hawkman,High Evolutionary,1,2,1
She-Hulk,Outrider,2,1,2
Thor (Pre-Ragnarok),Ancient One (Time Stone),2,1,2
Shuri,The Great Protector,2,1,2
Yellowjacket,Odin,1,2,1
Black Mask,Iron Man (Stark Gauntlet),2,1,2
Teenage Groot,Luke Cage,1,2,1
Whiplash,Captain Marvel,1,2,1
Captain Marvel,Killmonger,2,1,2
Cull Obsidian,Penthesileia,2,1,2
Ajak,White Dragon,1,2,1
Doomsday,Harley Quinn,2,1,2
Star-Lord,Loki,2,1,2
Sinister Strange,Cassandra Cain,2,1,2
Nebula,Agatha Harkness,2,1,2
Quake,Ronan the Accuser,1,2,1
Agatha Harkness,Wolverine,1,2,1
Ayo,Kurse,1,2,1
Atom Smasher,Wolverine,2,1,2
Faora,King Shark,2,1,2
Captain Carter (Earth-838),Corvus Glaive,2,1,2
Red Skull (Stonekeeper),Fat Thor,2,1,2
Red Skull,Slipknot,1,2,1
Nuidis Vulko,Rocket Raccoon,1,2,1
Mr. Fantastic (Earth-838),Whiplash Mark II,1,2,1
Deadshot,Taskmaster,2,1,2
Unworthy Thor,Mister Zsasz,2,1,2
Ironheart,Wonder Woman,1,2,1
Outrider,Vision,1,2,1
MBaku,White Wolf,1,2,1
King Shark,Baby Groot,2,1,2
Black Adam,Bloodsport,1,2,1
Cassandra Cain,Jessica Jones,1,2,1
Kro,Kingo,1,2,1
Faora,Ebony Maw,1,2,1
Ms. Marvel,Kaecilius,1,2,1
Sabbac,Ironheart,2,1,2
T.D.K.,Baron Mordo,1,2,1
Cull Obsidian,Bullseye,1,2,1
Sabbac,Nam-Ek,1,2,1
Hawkman,Thanos (Infinity Gauntlet),2,1,2
Malekith (Reality Stone),Falcon,2,1,2
Moon Knight,Echo,2,1,2
